#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-4494489.1913738735,16577.52734375,-4477911.6640301235,7.095097760136076,2994.3163804212063,0.9324308803423093,0
2000,7.999999999999562,-4492572.3671551235,28883.373046875,-4463688.9941082485,12.361937408435017,2994.3163804212063,0.9324308803423093,274
3000,11.999999999999122,-4484844.4882488735,42635.8203125,-4442208.6679363735,18.24791520038315,2994.3163804212063,0.9324308803423093,248
4000,15.999999999998682,-4476028.6601238735,56587.9765625,-4419440.6835613735,24.219367426385066,2994.3163804212063,0.9324308803423093,255
5000,20.000000000000018,-4467673.8984051235,70610.96875,-4397062.9296551235,30.221137074947762,2994.3163804212063,0.9324308803423093,242
6000,24.000000000001354,-4459204.8827801235,84815.25,-4374389.6327801235,36.30049752427399,2994.3163804212063,0.9324308803423093,235
7000,28.00000000000269,-4450586.3632488735,98767.96875,-4351818.3944988735,42.272190497427594,2994.3163804212063,0.9324308803423093,229
8000,32.00000000000402,-4442423.4804363735,112904.828125,-4329518.6523113735,48.32269472565538,2994.3163804212063,0.9324308803423093,224
9000,36.000000000001805,-4433442.9140301235,127250.0,-4306192.9140301235,54.46235564905916,2994.3163804212063,0.9324308803423093,222
10000,39.99999999999959,-4424477.7773113735,141490.09375,-4282987.6835613735,60.55704366704301,2994.3163804212063,0.9324308803423093,217
11000,43.99999999999737,-4416160.2734051235,155107.53125,-4261052.7421551235,66.38523796294741,2994.3163804212063,0.9324308803423093,216
12000,47.999999999995154,-4406634.4491863735,168795.84375,-4237838.6054363735,72.2437663999648,2994.3163804212063,0.9324308803423093,214
13000,51.99999999999294,-4397489.7460613735,182896.1875,-4214593.5585613735,78.27864212559537,2994.3163804212063,0.9324308803423093,209
14000,55.99999999999072,-4387952.0077801235,196633.5625,-4191318.4452801235,84.15816906417685,2994.3163804212063,0.9324308803423093,209
15000,59.9999999999885,-4377445.8398113735,211635.59375,-4165810.2460613735,90.57896247396701,2994.3163804212063,0.9324308803423093,208
16000,63.99999999998629,-4367492.4296551235,224454.765625,-4143037.6640301235,96.06550312451841,2994.3163804212063,0.9324308803423093,207
17000,67.99999999999118,-4355660.2109051235,239019.90625,-4116640.3046551235,102.29930955907489,2994.3163804212063,0.9324308803423093,206
18000,71.99999999999606,-4345012.1249676235,252565.84375,-4092446.2812176235,108.0969022170311,2994.3163804212063,0.9324308803423093,204
19000,76.00000000000095,-4333625.8437176235,266852.375,-4066773.4687176235,114.21146524987115,2994.3163804212063,0.9324308803423093,204
20000,80.00000000000584,-4321121.5155926235,281255.96875,-4039865.5468426235,120.37613043994632,2994.3163804212063,0.9324308803423093,203
21000,84.00000000001073,-4310295.2694988735,294999.5625,-4015295.7069988735,126.25831897203818,2994.3163804212063,0.9324308803423093,203
22000,88.00000000001562,-4297746.4569988735,310335.75,-3987410.7069988735,132.82212956477414,2994.3163804212063,0.9324308803423093,202
23000,92.0000000000205,-4285268.0546551235,323497.5,-3961770.5546551235,138.45529191812585,2994.3163804212063,0.9324308803423093,201
