#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899723.9699774897,7141.069315105766,-1892582.900662384,7.317125572835887,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898384.9699774897,11950.861640729472,-1886434.1083367602,12.24549874398046,1264.7681772367916,0.9234623645400899,62.6
3000,11.999999999999122,-1894544.9699774897,17703.543595014937,-1876841.4263824748,18.140007588902698,1264.7681772367916,0.9234623645400899,72.7
4000,15.999999999998682,-1891030.9699774897,23664.814589622812,-1867366.1553878668,24.248248038127922,1264.7681772367916,0.9234623645400899,76.8
5000,20.000000000000018,-1887309.9699774897,29639.97059446793,-1857669.9993830218,30.370715819283827,1264.7681772367916,0.9234623645400899,76
6000,24.000000000001354,-1883797.4699774897,35447.58792260071,-1848349.8820548889,36.32151441733606,1264.7681772367916,0.9234623645400899,73.3
7000,28.00000000000269,-1880432.9699774897,41207.20304616506,-1839225.7669313247,42.22312736221767,1264.7681772367916,0.9234623645400899,72.5
8000,32.00000000000402,-1876858.9699774897,47137.53279019179,-1829721.437187298,48.29966373381912,1264.7681772367916,0.9234623645400899,72
9000,36.000000000001805,-1873250.4699774897,53324.68524072689,-1819925.7847367628,54.63935453097729,1264.7681772367916,0.9234623645400899,71.1
10000,39.99999999999959,-1869159.9699774897,58934.13829940189,-1810225.8316780878,60.387103308380865,1264.7681772367916,0.9234623645400899,70.2
11000,43.99999999999737,-1865539.4699774897,64700.75133105497,-1800838.7186464346,66.29588668810536,1264.7681772367916,0.9234623645400899,69.1
12000,47.999999999995154,-1862009.4699774897,70325.43276954727,-1791684.0372079425,72.05923928651627,1264.7681772367916,0.9234623645400899,68.2
13000,51.99999999999294,-1857851.9699774897,76424.92094653111,-1781427.0490309587,78.30910453101258,1264.7681772367916,0.9234623645400899,67.5
14000,55.99999999999072,-1853742.9699774897,82629.98402777477,-1771112.985949715,84.6671475284086,1264.7681772367916,0.9234623645400899,66.9
15000,59.9999999999885,-1849259.9699774897,87981.75540870968,-1761278.21456878,90.15086173190673,1264.7681772367916,0.9234623645400899,66.3
16000,63.99999999998629,-1844855.9699774897,94182.52739459823,-1750673.4425828913,96.50450784108156,1264.7681772367916,0.9234623645400899,65.9
