#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1900060.9699774897,7089.159940433955,-1892971.8100370558,7.263936422006954,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898957.4699774897,11898.618885941087,-1887058.8510915486,12.191967993865928,1264.7681772367916,0.9234623645400899,67.5
3000,11.999999999999122,-1895026.9699774897,17718.084515273218,-1877308.8854622166,18.15490700169083,1264.7681772367916,0.9234623645400899,78
4000,15.999999999998682,-1890905.9699774897,23654.21908731927,-1867251.7508901705,24.237391313813777,1264.7681772367916,0.9234623645400899,82.4
5000,20.000000000000018,-1887348.9699774897,29409.31452568052,-1857939.655451809,30.134373144961366,1264.7681772367916,0.9234623645400899,84.4
6000,24.000000000001354,-1883839.4699774897,35528.49639500359,-1848310.9735824862,36.40441761101125,1264.7681772367916,0.9234623645400899,85.7
7000,28.00000000000269,-1880354.9699774897,41163.830484853956,-1839191.1394926356,42.178685491746315,1264.7681772367916,0.9234623645400899,86.6
8000,32.00000000000402,-1876970.9699774897,46948.426067922344,-1830022.5439095674,48.105894765551874,1264.7681772367916,0.9234623645400899,87.2
9000,36.000000000001805,-1873073.4699774897,52681.231836651335,-1820392.2381408382,53.98003739650696,1264.7681772367916,0.9234623645400899,87.7
10000,39.99999999999959,-1869219.9699774897,58756.32440890196,-1810463.6455685878,60.20490558588708,1264.7681772367916,0.9234623645400899,88
11000,43.99999999999737,-1865910.4699774897,64785.25965740011,-1801125.2103200895,66.38247848669069,1264.7681772367916,0.9234623645400899,88.2
12000,47.999999999995154,-1861640.9699774897,70690.34948535332,-1790950.6204921363,72.43315267614427,1264.7681772367916,0.9234623645400899,88.4
13000,51.99999999999294,-1857316.9699774897,76267.67741961427,-1781049.2925578754,78.14798431481019,1264.7681772367916,0.9234623645400899,88.6
14000,55.99999999999072,-1853228.4699774897,82497.26929055998,-1770731.2006869297,84.53116083583971,1264.7681772367916,0.9234623645400899,88.7
15000,59.9999999999885,-1849034.9699774897,88044.39516629801,-1760990.5748111918,90.21504581301573,1264.7681772367916,0.9234623645400899,88.8
16000,63.99999999998629,-1844568.4699774897,94054.09185765481,-1750514.378119835,96.37290584838816,1264.7681772367916,0.9234623645400899,88.9
17000,67.99999999999118,-1840327.9699774897,100102.08919415601,-1740225.8807833337,102.57001079480622,1264.7681772367916,0.9234623645400899,88.9
18000,71.99999999999606,-1835053.9699774897,105429.61145300357,-1729624.3585244862,108.02887803722403,1264.7681772367916,0.9234623645400899,88.9
19000,76.00000000000095,-1831634.9699774897,111686.20687873522,-1719948.7630987545,114.43972385994535,1264.7681772367916,0.9234623645400899,89
20000,80.00000000000584,-1826396.4699774897,117535.69976516768,-1708860.770212322,120.43343041827507,1264.7681772367916,0.9234623645400899,89
21000,84.00000000001073,-1820855.9699774897,123121.59601731991,-1697734.3739601697,126.15704161854333,1264.7681772367916,0.9234623645400899,89
22000,88.00000000001562,-1815956.9699774897,128505.98444282687,-1687450.9855346628,131.67417700875973,1264.7681772367916,0.9234623645400899,89.1
23000,92.0000000000205,-1810535.4699774897,135253.47890746116,-1675281.9910700284,138.5880245183064,1264.7681772367916,0.9234623645400899,89.1
24000,96.0000000000254,-1805985.4699774897,140759.03660592544,-1665226.4333715641,144.2293164944171,1264.7681772367916,0.9234623645400899,89.1
25000,100.00000000003028,-1799284.9699774897,146242.22535634408,-1653042.7446211455,149.8476880373882,1264.7681772367916,0.9234623645400899,89.1
26000,104.00000000003517,-1793874.4699774897,152407.8663563681,-1641466.6036211215,156.1653370397257,1264.7681772367916,0.9234623645400899,89.1
27000,108.00000000004006,-1787116.9699774897,159058.51962182324,-1628058.4503556665,162.97995582262794,1264.7681772367916,0.9234623645400899,89.1
28000,112.00000000004495,-1780880.9699774897,164348.26064500748,-1616532.7093324822,168.4001103690269,1264.7681772367916,0.9234623645400899,89
29000,116.00000000004984,-1773744.9699774897,170112.11485037606,-1603632.8551271136,174.3060669062343,1264.7681772367916,0.9234623645400899,89
30000,120.00000000005473,-1767044.9699774897,176168.59911073008,-1590876.3708667597,180.51186801352378,1264.7681772367916,0.9234623645400899,88.9
31000,124.00000000005961,-1758484.9699774897,182167.63318690826,-1576317.3367905815,186.658802557103,1264.7681772367916,0.9234623645400899,88.9
32000,128.0000000000645,-1750384.9699774897,187115.62125227303,-1563269.3487252167,191.72877855223607,1264.7681772367916,0.9234623645400899,88.9
33000,132.00000000005517,-1740475.4699774897,192391.13101188524,-1548084.3389656045,197.13435097682355,1264.7681772367916,0.9234623645400899,88.8
34000,136.00000000004584,-1727432.4699774897,198919.82722817318,-1528512.6427493165,203.82400597574997,1264.7681772367916,0.9234623645400899,88.8
35000,140.00000000003652,-1715800.4699774897,204759.0018818141,-1511041.4680956756,209.8071399150931,1264.7681772367916,0.9234623645400899,88.7
36000,144.0000000000272,-1701753.9699774897,211120.99943276518,-1490632.9705447245,216.32598645197118,1264.7681772367916,0.9234623645400899,88.7
37000,148.00000000001788,-1686803.9699774897,216339.1178342963,-1470464.8521431934,221.67275258924448,1264.7681772367916,0.9234623645400899,88.7
38000,152.00000000000855,-1670801.9699774897,221107.50943865615,-1449694.4605388334,226.55870434380194,1264.7681772367916,0.9234623645400899,88.6
39000,155.99999999999923,-1653541.4699774897,228028.0532750053,-1425513.4167024842,233.64986759238778,1264.7681772367916,0.9234623645400899,88.6
40000,159.9999999999899,-1638769.9699774897,233757.31352411813,-1405012.6564533715,239.52037729231984,1264.7681772367916,0.9234623645400899,88.6
41000,163.9999999999806,-1621364.9699774897,239948.8061339566,-1381416.163843533,245.86451525127234,1264.7681772367916,0.9234623645400899,88.5
42000,167.99999999997127,-1606009.9699774897,246451.98546704918,-1359557.9845104404,252.52802427256864,1264.7681772367916,0.9234623645400899,88.5
43000,171.99999999996194,-1592162.4699774897,251547.38376892035,-1340615.0862085694,257.7490447630908,1264.7681772367916,0.9234623645400899,88.5
44000,175.99999999995262,-1577968.9699774897,259055.72008782066,-1318913.249889669,265.4424919576535,1264.7681772367916,0.9234623645400899,88.4
45000,179.9999999999433,-1561775.9699774897,265113.8157753091,-1296662.1542021804,271.6499442202775,1264.7681772367916,0.9234623645400899,88.4
46000,183.99999999993398,-1553692.9699774897,269822.3774545379,-1283870.5925229518,276.4745909999244,1264.7681772367916,0.9234623645400899,88.3
47000,187.99999999992465,-1537802.9699774897,275164.0512850748,-1262638.9186924149,281.94795870754353,1264.7681772367916,0.9234623645400899,88.3
48000,191.99999999991533,-1528359.9699774897,281098.4124487569,-1247261.5575287328,288.0286258896096,1264.7681772367916,0.9234623645400899,88.3
49000,195.999999999906,-1513740.9699774897,287551.3117572347,-1226189.658220255,294.64061528020665,1264.7681772367916,0.9234623645400899,88.2
50000,199.9999999998967,-1503495.9699774897,294184.6818010047,-1209311.2881764849,301.4375247400659,1264.7681772367916,0.9234623645400899,88.2
51000,203.99999999988736,-1503861.9699774897,293072.9362790503,-1210789.0336984394,300.29837019188494,1264.7681772367916,0.9234623645400899,88.2
52000,207.99999999987804,-1500908.519475366,294580.08581197984,-1206328.4336633862,301.8426770600676,1264.7681772367916,0.9234623645400899,83.3
53000,211.99999999986872,-1502053.1681108493,293265.2077253928,-1208787.9603854567,300.49538190748086,1264.7681772367916,0.9234623645400899,82.6
54000,215.9999999998594,-1502196.2562614065,292442.56701596867,-1209753.6892454377,299.65245977543407,1264.7681772367916,0.9234623645400899,82.1
55000,219.99999999985008,-1498377.185884972,294244.42216970626,-1204132.7637152658,301.4987379506186,1264.7681772367916,0.9234623645400899,81.5
56000,223.99999999984075,-1502518.6752879051,295848.1442198879,-1206670.5310680172,303.14199823942187,1264.7681772367916,0.9234623645400899,81
57000,227.99999999983143,-1501191.8587333746,293112.9160977791,-1208078.9426355956,300.3393356749393,1264.7681772367916,0.9234623645400899,80.5
58000,231.9999999998221,-1501873.3020816827,293482.7703011924,-1208390.5317804902,300.7183082812255,1264.7681772367916,0.9234623645400899,80
59000,235.9999999998128,-1498415.7084384803,293554.4715974575,-1204861.2368410227,300.7917773046107,1264.7681772367916,0.9234623645400899,79.6
60000,239.99999999980346,-1499470.247236195,294584.2834172193,-1204885.9638189757,301.8469781532634,1264.7681772367916,0.9234623645400899,79.1
61000,243.99999999979414,-1500254.5869669393,292577.19549177424,-1207677.391475165,299.7904073879947,1264.7681772367916,0.9234623645400899,78.7
62000,247.99999999978482,-1499224.6419742452,292915.30223633803,-1206309.339737907,300.13684983209237,1264.7681772367916,0.9234623645400899,78.4
63000,251.9999999997755,-1499324.7583826492,295036.7866863423,-1204287.971696307,302.31063745920073,1264.7681772367916,0.9234623645400899,78
64000,255.99999999976617,-1498485.504473553,294401.0792155033,-1204084.4252580497,301.6592572265682,1264.7681772367916,0.9234623645400899,77.6
65000,259.99999999978525,-1500250.1447741902,294699.0533823683,-1205551.0913918219,301.96457766251467,1264.7681772367916,0.9234623645400899,77.3
66000,263.99999999980434,-1500229.6345321788,293499.3341705895,-1206730.3003615893,300.7352805170354,1264.7681772367916,0.9234623645400899,76.9
67000,267.99999999982344,-1499989.828195597,295177.6444574207,-1204812.1837381762,302.4549679443719,1264.7681772367916,0.9234623645400899,76.6
68000,271.99999999984254,-1499668.211147841,294521.81418719736,-1205146.3969606436,301.7829688039155,1264.7681772367916,0.9234623645400899,76.3
69000,275.99999999986164,-1499510.5192069467,292516.8765279186,-1206993.6426790282,299.72860131757596,1264.7681772367916,0.9234623645400899,76
70000,279.99999999988074,-1501377.988838505,293874.34521506773,-1207503.6436234373,301.11953710138795,1264.7681772367916,0.9234623645400899,75.7
71000,283.99999999989984,-1500915.778509166,293983.7958965109,-1206931.9826126553,301.2316861850634,1264.7681772367916,0.9234623645400899,75.4
72000,287.99999999991894,-1501661.5769530525,293198.54267256765,-1208463.034280485,300.4270732913176,1264.7681772367916,0.9234623645400899,75.1
73000,291.99999999993804,-1501384.215732662,292902.29210668616,-1208481.9236259758,300.123518950094,1264.7681772367916,0.9234623645400899,74.8
74000,295.99999999995714,-1502745.2419171752,293918.3511268194,-1208826.8907903559,301.1646279369513,1264.7681772367916,0.9234623645400899,74.5
75000,299.99999999997624,-1501463.113436875,293609.38023489364,-1207853.7332019813,300.8480396621688,1264.7681772367916,0.9234623645400899,74.3
76000,303.99999999999534,-1499764.2873891657,294527.95151869656,-1205236.3358704692,301.7892574454732,1264.7681772367916,0.9234623645400899,74
77000,308.00000000001444,-1501970.8720464073,293061.34356838255,-1208909.5284780248,300.2864916739848,1264.7681772367916,0.9234623645400899,73.7
78000,312.00000000003354,-1500950.105916541,291637.8435352373,-1209312.2623813038,298.82789660427636,1264.7681772367916,0.9234623645400899,73.5
79000,316.00000000005264,-1499216.838125066,294924.73007949785,-1204292.108045568,302.1958182035169,1264.7681772367916,0.9234623645400899,73.3
80000,320.00000000007174,-1499623.981575285,293870.48115403205,-1205753.500421253,301.11557777561035,1264.7681772367916,0.9234623645400899,73.1
81000,324.00000000009084,-1502786.853753619,293091.2049419135,-1209695.6488117054,300.31708925121893,1264.7681772367916,0.9234623645400899,72.9
82000,328.00000000010994,-1500037.1956637157,293782.47125972155,-1206254.7244039942,301.02539808123885,1264.7681772367916,0.9234623645400899,72.7
83000,332.00000000012903,-1500206.8107859548,295048.33581615944,-1205158.4749697954,302.3224713218059,1264.7681772367916,0.9234623645400899,72.5
84000,336.00000000014813,-1497533.8780268012,294240.4529846825,-1203293.4250421186,301.4946709091211,1264.7681772367916,0.9234623645400899,72.3
85000,340.00000000016723,-1501119.826965888,293762.72285673727,-1207357.1041091508,301.0051628002014,1264.7681772367916,0.9234623645400899,72.1
86000,344.00000000018633,-1503293.2484451793,293776.4414985704,-1209516.806946609,301.0192196620735,1264.7681772367916,0.9234623645400899,71.9
87000,348.00000000020543,-1501487.1241065161,292105.4983660409,-1209381.6257404753,299.3070810192063,1264.7681772367916,0.9234623645400899,71.8
88000,352.00000000022453,-1503347.0297797332,294082.3880960904,-1209264.6416836428,301.3327090813542,1264.7681772367916,0.9234623645400899,71.6
89000,356.00000000024363,-1500941.208111724,292854.795421556,-1208086.4126901678,300.0748512794616,1264.7681772367916,0.9234623645400899,71.4
90000,360.00000000026273,-1501251.6486194981,295389.4623749656,-1205862.1862445325,302.6720080307879,1264.7681772367916,0.9234623645400899,71.3
91000,364.00000000028183,-1502903.5529150246,294237.99504266237,-1208665.5578723622,301.49215236888324,1264.7681772367916,0.9234623645400899,71.1
92000,368.00000000030093,-1501611.9953634543,295557.15574037965,-1206054.8396230747,302.84383571629576,1264.7681772367916,0.9234623645400899,71
93000,372.00000000032003,-1502928.5240002936,293744.5591417182,-1209183.9648585753,300.98655127610056,1264.7681772367916,0.9234623645400899,70.8
94000,376.0000000003391,-1503151.495350399,292908.95816829125,-1210242.5371821078,300.13034935709453,1264.7681772367916,0.9234623645400899,70.7
95000,380.0000000003582,-1505099.7566336403,294242.00717873813,-1210857.749454902,301.4962634203499,1264.7681772367916,0.9234623645400899,70.5
96000,384.0000000003773,-1503369.918828955,293077.8041679219,-1210292.114661033,300.303358093917,1264.7681772367916,0.9234623645400899,70.4
97000,388.0000000003964,-1503553.7442704523,294416.272892054,-1209137.4713783984,301.67482548873295,1264.7681772367916,0.9234623645400899,70.3
98000,392.0000000004155,-1506034.396180557,294532.7055619869,-1211501.6906185702,301.7941286951698,1264.7681772367916,0.9234623645400899,70.1
99000,396.0000000004346,-1506566.5565572968,294299.69208033493,-1212266.8644769618,301.55537048821543,1264.7681772367916,0.9234623645400899,70
100000,400.0000000004537,-1506838.424603396,294750.91777920816,-1212087.506824188,302.01772072662607,1264.7681772367916,0.9234623645400899,69.9
101000,404.0000000004728,-1505998.8244750882,294854.647954815,-1211144.176520273,302.1240082708461,1264.7681772367916,0.9234623645400899,69.7
102000,408.0000000004919,-1507646.1786313066,293165.8309207746,-1214480.3477105321,300.39355506246204,1264.7681772367916,0.9234623645400899,69.6
103000,412.000000000511,-1506990.7513027815,293661.1195106237,-1213329.631792158,300.9010545204287,1264.7681772367916,0.9234623645400899,69.5
104000,416.0000000005301,-1506460.621668688,293261.658993638,-1213198.96267505,300.49174568512706,1264.7681772367916,0.9234623645400899,69.4
105000,420.0000000005492,-1507410.6649224153,293750.2349360501,-1213660.4299863651,300.992367001732,1264.7681772367916,0.9234623645400899,69.3
106000,424.0000000005683,-1509358.2570427507,294563.58680865465,-1214794.670234096,301.8257712895408,1264.7681772367916,0.9234623645400899,69.2
107000,428.0000000005874,-1509129.0375715327,292961.15417128784,-1216167.8834002449,300.1838322027964,1264.7681772367916,0.9234623645400899,69.1
108000,432.0000000006065,-1508822.5590666384,294630.94202406786,-1214191.6170425704,301.89478708359303,1264.7681772367916,0.9234623645400899,69
109000,436.0000000006256,-1509959.0038069962,294130.7871784972,-1215828.2166284989,301.38230139700806,1264.7681772367916,0.9234623645400899,68.9
110000,440.0000000006447,-1510721.0004904987,293128.03562910337,-1217592.9648613953,300.3548279638977,1264.7681772367916,0.9234623645400899,68.8
111000,444.0000000006638,-1510319.3673619498,294842.72741025354,-1215476.6399516962,302.11179383662005,1264.7681772367916,0.9234623645400899,68.7
112000,448.0000000006829,-1510243.648274947,294417.8358045807,-1215825.8124703662,301.67642693337837,1264.7681772367916,0.9234623645400899,68.6
113000,452.000000000702,-1509742.5050031897,294368.4280776945,-1215374.0769254952,301.62580110607684,1264.7681772367916,0.9234623645400899,68.5
114000,456.0000000007211,-1510236.1890674792,294066.76863050065,-1216169.4204369786,301.31670453272744,1264.7681772367916,0.9234623645400899,68.4
115000,460.0000000007402,-1509213.076144482,295303.49236286967,-1213909.5837816123,302.58391850998265,1264.7681772367916,0.9234623645400899,68.3
116000,464.0000000007593,-1510036.0038821483,293071.5382888011,-1216964.4655933473,300.29693773551855,1264.7681772367916,0.9234623645400899,68.2
117000,468.0000000007784,-1511576.389714961,293242.0599261156,-1218334.3297888453,300.47166342127497,1264.7681772367916,0.9234623645400899,68.1
118000,472.0000000007975,-1511915.2208102131,294883.49046504684,-1217031.7303451663,302.1535618656776,1264.7681772367916,0.9234623645400899,68
119000,476.0000000008166,-1512515.4376303777,292816.293906471,-1219699.1437239067,300.0354005462184,1264.7681772367916,0.9234623645400899,67.9
120000,480.0000000008357,-1511223.4031039458,292656.6096028249,-1218566.793501121,299.8717793782629,1264.7681772367916,0.9234623645400899,67.8
121000,484.0000000008548,-1511282.8982807621,292856.54247842723,-1218426.3558023348,300.0766414083549,1264.7681772367916,0.9234623645400899,67.7
122000,488.0000000008739,-1511952.0331018772,294451.3568038052,-1217500.676298072,301.7107743608895,1264.7681772367916,0.9234623645400899,67.6
123000,492.000000000893,-1511025.8546152804,293079.7971318243,-1217946.057483456,300.30540019244495,1264.7681772367916,0.9234623645400899,67.5
124000,496.0000000009121,-1508719.3895363035,293227.1788927539,-1215492.2106435494,300.456415510219,1264.7681772367916,0.9234623645400899,67.4
125000,500.0000000009312,-1511387.3690453563,294768.13806241885,-1216619.2309829374,302.03536555950643,1264.7681772367916,0.9234623645400899,67.4
126000,504.0000000009503,-1510327.8775934763,294491.8340240187,-1215836.0435694577,301.7522495083881,1264.7681772367916,0.9234623645400899,67.3
127000,508.0000000009694,-1510369.4774102774,292764.1970403607,-1217605.2803699167,299.98201928152827,1264.7681772367916,0.9234623645400899,67.2
128000,512.0000000009885,-1510520.5964165973,293621.9556033201,-1216898.640813277,300.86092506431805,1264.7681772367916,0.9234623645400899,67.1
129000,516.0000000010076,-1511412.8428376755,294213.7048255565,-1217199.138012119,301.46726329962587,1264.7681772367916,0.9234623645400899,67
130000,520.0000000010267,-1509402.125228081,292649.4831765223,-1216752.6420515585,299.86447725671206,1264.7681772367916,0.9234623645400899,66.9
