#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899706.961106575,7081.443451700763,-1892625.5176548744,7.256029690598718,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1898439.3544403366,11905.019350883867,-1886534.3350894528,12.198526256171517,1264.7681772367916,0.9234623645400899,0.906
3000,11.999999999999122,-1894722.504407472,17771.141356162025,-1876951.36305131,18.209271908422675,1264.7681772367916,0.9234623645400899,0.91
4000,15.999999999998682,-1891389.4775866785,23516.843733236758,-1867872.6338534418,24.096629101310363,1264.7681772367916,0.9234623645400899,0.911
5000,20.000000000000018,-1887783.1038582989,29534.66938159075,-1858248.434476708,30.262818505366937,1264.7681772367916,0.9234623645400899,0.911
6000,24.000000000001354,-1883889.2336037084,35262.93800038804,-1848626.2956033205,36.132312127283164,1264.7681772367916,0.9234623645400899,0.91
7000,28.00000000000269,-1880840.616263105,41288.131568905315,-1839552.4846941996,42.306051100552196,1264.7681772367916,0.9234623645400899,0.909
8000,32.00000000000402,-1877035.1986274293,46941.953420349484,-1830093.24520708,48.09926254102226,1264.7681772367916,0.9234623645400899,0.908
9000,36.000000000001805,-1873442.4747345177,52576.61524527718,-1820865.8594892407,53.87284158278373,1264.7681772367916,0.9234623645400899,0.907
10000,39.99999999999959,-1869597.6856379528,58784.24327443427,-1810813.4423635185,60.23351276443931,1264.7681772367916,0.9234623645400899,0.906
11000,43.99999999999737,-1866101.2336430727,64730.61375502798,-1801370.6198880447,66.3264853416792,1264.7681772367916,0.9234623645400899,0.905
12000,47.999999999995154,-1862058.8568160504,70797.38659424163,-1791261.4702218086,72.54282868293394,1264.7681772367916,0.9234623645400899,0.904
13000,51.99999999999294,-1858152.1513968438,76402.81778273062,-1781749.3336141133,78.28645643477537,1264.7681772367916,0.9234623645400899,0.902
14000,55.99999999999072,-1854133.937338864,82418.18371113001,-1771715.753627734,84.45012547682624,1264.7681772367916,0.9234623645400899,0.901
15000,59.9999999999885,-1850011.7517557219,87683.97838158821,-1762327.7733741337,89.84574329599621,1264.7681772367916,0.9234623645400899,0.9
16000,63.99999999998629,-1846043.2232424426,93812.18194245912,-1752231.0412999834,96.12503187480038,1264.7681772367916,0.9234623645400899,0.899
17000,67.99999999999118,-1841180.9095171473,99472.68405906747,-1741708.22545808,101.92508827600521,1264.7681772367916,0.9234623645400899,0.898
18000,71.99999999999606,-1836002.5244561734,105011.92268700102,-1730990.6017691724,107.60089155279958,1264.7681772367916,0.9234623645400899,0.896
19000,76.00000000000095,-1831893.3820718927,111257.71138933807,-1720635.6706825546,114.000664222661,1264.7681772367916,0.9234623645400899,0.895
20000,80.00000000000584,-1826799.789607392,117178.66163485631,-1709621.1279725356,120.06758985315795,1264.7681772367916,0.9234623645400899,0.893
21000,84.00000000001073,-1821321.6856340766,123970.26054974202,-1697351.4250843346,127.02662916614052,1264.7681772367916,0.9234623645400899,0.891
22000,88.00000000001562,-1816172.4385796099,128253.41631686632,-1687919.0222627434,131.41538205637914,1264.7681772367916,0.9234623645400899,0.89
23000,92.0000000000205,-1809757.1909078362,134627.84307172504,-1675129.3478361112,137.9469642273408,1264.7681772367916,0.9234623645400899,0.889
24000,96.0000000000254,-1804740.984354025,140197.5533978639,-1664543.430956161,143.65399045301677,1264.7681772367916,0.9234623645400899,0.884
25000,100.00000000003028,-1798423.3241241379,146551.86372218558,-1651871.4604019523,150.16496024201967,1264.7681772367916,0.9234623645400899,0.881
26000,104.00000000003517,-1793098.3269061728,152638.51379250782,-1640459.813113665,156.4016708685708,1264.7681772367916,0.9234623645400899,0.879
27000,108.00000000004006,-1787012.4545603113,158347.1932555218,-1628665.2613047895,162.25109238273853,1264.7681772367916,0.9234623645400899,0.878
28000,112.00000000004495,-1780369.2638703564,163793.13807890506,-1616576.1257914514,167.8313017851508,1264.7681772367916,0.9234623645400899,0.876
29000,116.00000000004984,-1773520.1707148186,169057.6338487864,-1604462.5368660323,173.22558868058817,1264.7681772367916,0.9234623645400899,0.875
30000,120.00000000005473,-1766250.4896054908,175506.7339989685,-1590743.7556065223,179.8336852482628,1264.7681772367916,0.9234623645400899,0.874
31000,124.00000000005961,-1756496.7548070524,181451.05145761225,-1575045.7033494401,185.92455418825335,1264.7681772367916,0.9234623645400899,0.872
32000,128.0000000000645,-1748418.0619235293,186826.88804456155,-1561591.1738789678,191.4329269024833,1264.7681772367916,0.9234623645400899,0.87
33000,132.00000000005517,-1738764.4325762615,192697.560946599,-1546066.8716296623,197.44833564951585,1264.7681772367916,0.9234623645400899,0.869
34000,136.00000000004584,-1726910.879311001,198198.22392097235,-1528712.6553900286,203.08461222677838,1264.7681772367916,0.9234623645400899,0.867
35000,140.00000000003652,-1715021.6890627265,203765.14300365763,-1511256.5460590688,208.7887783935538,1264.7681772367916,0.9234623645400899,0.866
36000,144.0000000000272,-1700589.0343405178,209636.4854355591,-1490952.5489049586,214.80487317707104,1264.7681772367916,0.9234623645400899,0.864
37000,148.00000000001788,-1687476.6305717318,215728.558410637,-1471748.0721610948,221.04714040492593,1264.7681772367916,0.9234623645400899,0.862
38000,152.00000000000855,-1670557.9755677006,220223.0082853555,-1450334.967282345,225.65239665759466,1264.7681772367916,0.9234623645400899,0.86
39000,155.99999999999923,-1653919.4670511351,227001.50006752153,-1426917.9669836136,232.59800569399295,1264.7681772367916,0.9234623645400899,0.859
40000,159.9999999999899,-1636747.2191353233,233189.20178086174,-1403558.0173544616,238.93825929550715,1264.7681772367916,0.9234623645400899,0.857
41000,163.9999999999806,-1621118.4495730423,239151.85205978935,-1381966.5975132529,245.04791303399242,1264.7681772367916,0.9234623645400899,0.855
42000,167.99999999997127,-1607026.9609711485,245105.33902021748,-1361921.621950931,251.14817754109424,1264.7681772367916,0.9234623645400899,0.853
43000,171.99999999996194,-1592069.855414276,250406.81946853184,-1341663.0359457443,256.5803609369609,1264.7681772367916,0.9234623645400899,0.851
44000,175.99999999995262,-1579252.1850707498,256076.95866175232,-1323175.2264089976,262.39029200771654,1264.7681772367916,0.9234623645400899,0.849
45000,179.9999999999433,-1562661.1631426443,262628.6955573935,-1300032.4675852507,269.1035557319853,1264.7681772367916,0.9234623645400899,0.847
46000,183.99999999993398,-1550063.3847269127,270133.87086869456,-1279929.5138582182,276.7937639873192,1264.7681772367916,0.9234623645400899,0.846
47000,187.99999999992465,-1539653.9001702426,274518.65751064394,-1265135.2426595986,281.28665336473614,1264.7681772367916,0.9234623645400899,0.843
48000,191.99999999991533,-1529450.1086502003,280602.3065581119,-1248847.8020920884,287.5202889810748,1264.7681772367916,0.9234623645400899,0.842
49000,195.999999999906,-1516559.7262402098,286862.3425867948,-1229697.383653415,293.9346602315339,1264.7681772367916,0.9234623645400899,0.839
50000,199.9999999998967,-1505648.157877655,292577.2379129057,-1213070.9199647494,299.79045085497876,1264.7681772367916,0.9234623645400899,0.835
51000,203.99999999988736,-1502260.6738330033,293310.96792951244,-1208949.7059034908,300.5422702858185,1264.7681772367916,0.9234623645400899,0.834
52000,207.99999999987804,-1502516.1858074106,292919.5509541663,-1209596.6348532443,300.1412032980092,1264.7681772367916,0.9234623645400899,0.83
53000,211.99999999986872,-1501761.6280271637,290970.1242179374,-1210791.5038092262,298.1437153036192,1264.7681772367916,0.9234623645400899,0.827
54000,215.9999999998594,-1502405.748001841,292558.8026697647,-1209846.9453320762,299.7715611084889,1264.7681772367916,0.9234623645400899,0.824
55000,219.99999999985008,-1504016.2194795653,293298.09728625225,-1210718.122193313,300.52908232911597,1264.7681772367916,0.9234623645400899,0.821
56000,223.99999999984075,-1501196.4202490272,291579.0603053968,-1209617.3599436304,298.76766412993106,1264.7681772367916,0.9234623645400899,0.818
57000,227.99999999983143,-1503804.7454798247,292854.6904062208,-1210950.055073604,300.0747436750734,1264.7681772367916,0.9234623645400899,0.815
58000,231.9999999998221,-1502136.7520265896,291754.05301464605,-1210382.6990119435,298.94697111763935,1264.7681772367916,0.9234623645400899,0.813
59000,235.9999999998128,-1504299.026342906,291767.0085705019,-1212532.0177724042,298.9602460803767,1264.7681772367916,0.9234623645400899,0.81
60000,239.99999999980346,-1502161.234932903,293310.1516457781,-1208851.083287125,300.54143387738674,1264.7681772367916,0.9234623645400899,0.808
61000,243.99999999979414,-1503685.665294559,292658.03382366715,-1211027.6314708919,299.8732387119125,1264.7681772367916,0.9234623645400899,0.805
62000,247.99999999978482,-1502409.3097673107,294405.8309912955,-1208003.4787760153,301.66412615286356,1264.7681772367916,0.9234623645400899,0.803
63000,251.9999999997755,-1501116.238596443,291940.27265614155,-1209175.9659403015,299.1377818269079,1264.7681772367916,0.9234623645400899,0.801
64000,255.99999999976617,-1503179.9862293005,292357.0536970177,-1210822.9325322828,299.5648382071081,1264.7681772367916,0.9234623645400899,0.799
65000,259.99999999978525,-1504233.8940660532,293076.5653984658,-1211157.3286675874,300.3020887837807,1264.7681772367916,0.9234623645400899,0.797
66000,263.99999999980434,-1503090.9921217363,292634.4610229042,-1210456.5310988321,299.84908474621426,1264.7681772367916,0.9234623645400899,0.795
67000,267.99999999982344,-1499748.515311858,292232.82119004556,-1207515.6941218125,299.43754286608396,1264.7681772367916,0.9234623645400899,0.793
68000,271.99999999984254,-1501722.5653512415,291910.40115034784,-1209812.1642008936,299.1071738676097,1264.7681772367916,0.9234623645400899,0.791
69000,275.99999999986164,-1503562.0879005033,291977.01016416255,-1211585.0777363407,299.1754250631742,1264.7681772367916,0.9234623645400899,0.789
70000,279.99999999988074,-1502244.6303261393,293472.13874329405,-1208772.4915828453,300.70741461240027,1264.7681772367916,0.9234623645400899,0.787
71000,283.99999999989984,-1502377.2658663248,292710.17385905056,-1209667.0920072743,299.92666421017304,1264.7681772367916,0.9234623645400899,0.785
72000,287.99999999991894,-1503090.8837018071,291714.84182367666,-1211376.0418781305,298.90679321212923,1264.7681772367916,0.9234623645400899,0.783
73000,291.99999999993804,-1503236.1423033287,292116.67687233427,-1211119.4654309945,299.31853512091794,1264.7681772367916,0.9234623645400899,0.781
74000,295.99999999995714,-1502534.8982047497,295039.71353528515,-1207495.1846694646,302.3136364668146,1264.7681772367916,0.9234623645400899,0.779
75000,299.99999999997624,-1506322.5332095444,292450.4700333079,-1213872.0631762366,299.66055763413334,1264.7681772367916,0.9234623645400899,0.778
76000,303.99999999999534,-1502206.7459007911,292314.5505142408,-1209892.1953865504,299.5212871488701,1264.7681772367916,0.9234623645400899,0.777
77000,308.00000000001444,-1506064.4571580007,293270.50337347947,-1212793.9537845212,300.50080811472384,1264.7681772367916,0.9234623645400899,0.775
78000,312.00000000003354,-1505546.7119919674,294223.39796305133,-1211323.314028916,301.477195412187,1264.7681772367916,0.9234623645400899,0.774
79000,316.00000000005264,-1504251.9078720014,291837.0380239786,-1212414.8698480227,299.032002043283,1264.7681772367916,0.9234623645400899,0.772
80000,320.00000000007174,-1505333.2156759603,292333.43121384666,-1212999.7844621136,299.5406333341293,1264.7681772367916,0.9234623645400899,0.771
81000,324.00000000009084,-1503724.8342861354,291552.30092450324,-1212172.5333616321,298.74024502200626,1264.7681772367916,0.9234623645400899,0.77
82000,328.00000000010994,-1505056.7920642002,292186.9847810002,-1212869.8072831999,299.39057640406077,1264.7681772367916,0.9234623645400899,0.768
83000,332.00000000012903,-1506854.703887589,292747.7655424614,-1214106.9383451277,299.96518268070935,1264.7681772367916,0.9234623645400899,0.767
84000,336.00000000014813,-1506381.8675878437,291466.3912444094,-1214915.4763434343,298.6522173206311,1264.7681772367916,0.9234623645400899,0.766
85000,340.00000000016723,-1505432.8744277626,293111.9636163272,-1212320.9108114354,300.338359710965,1264.7681772367916,0.9234623645400899,0.765
86000,344.00000000018633,-1505860.901380717,293085.008556546,-1212775.892824171,300.31074009987606,1264.7681772367916,0.9234623645400899,0.764
87000,348.00000000020543,-1507409.3267327799,291466.2986913335,-1215943.0280414463,298.6521224857474,1264.7681772367916,0.9234623645400899,0.762
88000,352.00000000022453,-1507488.3054986754,293570.1626114362,-1213918.1428872393,300.80785516558376,1264.7681772367916,0.9234623645400899,0.761
89000,356.00000000024363,-1506173.4025315277,292928.43387652456,-1213244.9686550032,300.1503052203518,1264.7681772367916,0.9234623645400899,0.76
90000,360.00000000026273,-1506614.115640107,291719.6458087686,-1214894.4698313386,298.91171563489485,1264.7681772367916,0.9234623645400899,0.759
91000,364.00000000028183,-1506869.9218447153,294054.1723615912,-1212815.7494831241,301.3037977148137,1264.7681772367916,0.9234623645400899,0.758
92000,368.00000000030093,-1509179.0301282692,293613.63522368926,-1215565.39490458,300.8523995536577,1264.7681772367916,0.9234623645400899,0.757
93000,372.00000000032003,-1508535.2972652365,292504.4456403722,-1216030.8516248642,299.7158639583451,1264.7681772367916,0.9234623645400899,0.755
94000,376.0000000003391,-1506883.6352879053,292928.1402409996,-1213955.4950469057,300.1500043455228,1264.7681772367916,0.9234623645400899,0.754
95000,380.0000000003582,-1509250.103803393,293472.73711835046,-1215777.3666850426,300.70802773982336,1264.7681772367916,0.9234623645400899,0.753
96000,384.0000000003773,-1508262.5140515561,294270.201962758,-1213992.3120887983,301.525153319897,1264.7681772367916,0.9234623645400899,0.752
97000,388.0000000003964,-1508936.5545961207,293160.14945184404,-1215776.4051442766,300.38773352233005,1264.7681772367916,0.9234623645400899,0.751
98000,392.0000000004155,-1508641.280771878,293306.24193949817,-1215335.03883238,300.53742778102486,1264.7681772367916,0.9234623645400899,0.75
99000,396.0000000004346,-1510508.7048271263,291527.2072204997,-1218981.4976066267,298.7145326566476,1264.7681772367916,0.9234623645400899,0.749
100000,400.0000000004537,-1507916.4655740578,293590.8694517471,-1214325.5961223107,300.8290725133066,1264.7681772367916,0.9234623645400899,0.749
101000,404.0000000004728,-1509223.6019563405,292305.3614263277,-1216918.2405300126,299.51187151275275,1264.7681772367916,0.9234623645400899,0.748
102000,408.0000000004919,-1511645.007978154,293986.0394351812,-1217658.968542973,301.2339850360413,1264.7681772367916,0.9234623645400899,0.747
