#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899321.002294987,6969.259880712798,-1892351.7424142743,7.141080340591473,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1897923.115619314,11975.832401490428,-1885947.2832178234,12.271085135048066,1264.7681772367916,0.9234623645400899,0.91
3000,11.999999999999122,-1894280.7407299383,17666.268353423347,-1876614.472376515,18.101813361757124,1264.7681772367916,0.9234623645400899,0.912
4000,15.999999999998682,-1890841.1941986051,23632.39247513885,-1867208.8017234663,24.21502658731324,1264.7681772367916,0.9234623645400899,0.911
5000,20.000000000000018,-1887485.1434940659,29715.327642510038,-1857769.815851556,30.44793072352176,1264.7681772367916,0.9234623645400899,0.911
6000,24.000000000001354,-1883952.3637753497,35427.73042180621,-1848524.6333535435,36.30116734878588,1264.7681772367916,0.9234623645400899,0.911
7000,28.00000000000269,-1880412.7497834547,41275.531301887226,-1839137.2184815675,42.29314018596023,1264.7681772367916,0.9234623645400899,0.91
8000,32.00000000000402,-1876589.8262285949,47151.59549353158,-1829438.2307350633,48.31407313970644,1264.7681772367916,0.9234623645400899,0.909
9000,36.000000000001805,-1872894.6618055333,52829.58073641347,-1820065.08106912,54.132043696999716,1264.7681772367916,0.9234623645400899,0.908
10000,39.99999999999959,-1869584.7022408857,58664.855830096305,-1810919.8464107893,60.11118193645071,1264.7681772367916,0.9234623645400899,0.894
11000,43.99999999999737,-1865946.7109798407,64714.83728939251,-1801231.8736904482,66.31031992232022,1264.7681772367916,0.9234623645400899,0.894
12000,47.999999999995154,-1862098.04634478,70462.08722527366,-1791635.9591195062,72.1992628276017,1264.7681772367916,0.9234623645400899,0.894
13000,51.99999999999294,-1858196.3599357074,76425.30613851782,-1781771.0537971896,78.30949921954058,1264.7681772367916,0.9234623645400899,0.894
14000,55.99999999999072,-1854123.417844774,82301.35597461833,-1771822.0618701556,84.33041746382071,1264.7681772367916,0.9234623645400899,0.894
15000,59.9999999999885,-1849927.4971267036,88287.27015337713,-1761640.2269733264,90.4639086514144,1264.7681772367916,0.9234623645400899,0.893
16000,63.99999999998629,-1845386.8919858665,93846.74174540276,-1751540.1502404637,96.16044371674626,1264.7681772367916,0.9234623645400899,0.893
17000,67.99999999999118,-1840759.0308419305,99602.73318776998,-1741156.2976541605,102.0583436420246,1264.7681772367916,0.9234623645400899,0.892
18000,71.99999999999606,-1835854.7637478607,105715.51014236509,-1730139.2536054957,108.3218252862785,1264.7681772367916,0.9234623645400899,0.892
19000,76.00000000000095,-1831348.1084838973,110982.63104690186,-1720365.4774369954,113.7188020365642,1264.7681772367916,0.9234623645400899,0.891
20000,80.00000000000584,-1827143.6685456745,116728.90476872944,-1710414.7637769452,119.60674466016506,1264.7681772367916,0.9234623645400899,0.889
