#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1899031.4699774897,6974.522819913758,-1892056.947157576,7.146473032542266,1264.7681772367916,0.9234623645400899,0
2000,7.999999999999562,-1897899.4699774897,12019.760925972234,-1885879.7090515175,12.316096675432197,1264.7681772367916,0.9234623645400899,68.1
3000,11.999999999999122,-1894276.9699774897,17775.277122706957,-1876501.6928547828,18.213509638349926,1264.7681772367916,0.9234623645400899,78.1
4000,15.999999999998682,-1890522.4699774897,23641.185337302104,-1866881.2846401876,24.224036229112553,1264.7681772367916,0.9234623645400899,82.2
5000,20.000000000000018,-1886976.4699774897,29532.13944306598,-1857444.3305344237,30.26022619361915,1264.7681772367916,0.9234623645400899,84.3
6000,24.000000000001354,-1883556.4699774897,35271.885794546586,-1848284.584182943,36.141480520778444,1264.7681772367916,0.9234623645400899,85.6
7000,28.00000000000269,-1879897.9699774897,41160.694642469694,-1838737.27533502,42.17547233815688,1264.7681772367916,0.9234623645400899,86.4
8000,32.00000000000402,-1876410.9699774897,47099.05402514458,-1829311.9159523451,48.26023631149422,1264.7681772367916,0.9234623645400899,87.1
9000,36.000000000001805,-1872896.4699774897,52812.27935529191,-1820084.1906221977,54.11431576681675,1264.7681772367916,0.9234623645400899,87.5
10000,39.99999999999959,-1869509.9699774897,58624.826969151814,-1810885.1430083378,60.07016620209159,1264.7681772367916,0.9234623645400899,87.8
11000,43.99999999999737,-1865586.9699774897,64537.3143533157,-1801049.655624174,66.12842032745354,1264.7681772367916,0.9234623645400899,88.1
12000,47.999999999995154,-1861941.9699774897,70450.27155581715,-1791491.6984216725,72.18715585407638,1264.7681772367916,0.9234623645400899,88.3
13000,51.99999999999294,-1857699.9699774897,76408.81348316999,-1781291.1564943197,78.2925999534945,1264.7681772367916,0.9234623645400899,88.5
14000,55.99999999999072,-1853571.9699774897,82385.84958453862,-1771186.120392951,84.41699418316178,1264.7681772367916,0.9234623645400899,88.6
15000,59.9999999999885,-1848640.9699774897,88313.22701846917,-1760327.7429590204,90.49050545827549,1264.7681772367916,0.9234623645400899,88.7
16000,63.99999999998629,-1843984.9699774897,93870.53796368132,-1750114.4320138083,96.18482660810602,1264.7681772367916,0.9234623645400899,88.7
17000,67.99999999999118,-1839540.9699774897,99805.26184446602,-1739735.7081330237,102.26586544971912,1264.7681772367916,0.9234623645400899,88.8
18000,71.99999999999606,-1834812.9699774897,105568.79195900976,-1729244.1780184798,108.17148990595129,1264.7681772367916,0.9234623645400899,88.8
19000,76.00000000000095,-1830861.4699774897,111720.87222113457,-1719140.597756355,114.47524384332162,1264.7681772367916,0.9234623645400899,88.9
20000,80.00000000000584,-1826388.9699774897,117485.27230641762,-1708903.697671072,120.3817597185925,1264.7681772367916,0.9234623645400899,88.9
21000,84.00000000001073,-1821611.9699774897,123581.67447588933,-1698030.2955016003,126.62846287300277,1264.7681772367916,0.9234623645400899,88.9
22000,88.00000000001562,-1816533.4699774897,128863.8777664694,-1687669.5922110202,132.0408938511845,1264.7681772367916,0.9234623645400899,89
23000,92.0000000000205,-1811476.9699774897,134464.49124231876,-1677012.4787351708,137.77958511427298,1264.7681772367916,0.9234623645400899,89
24000,96.0000000000254,-1805227.4699774897,140923.28507280996,-1664304.1849046797,144.3976143507056,1264.7681772367916,0.9234623645400899,89
25000,100.00000000003028,-1800249.9699774897,146930.52668738976,-1653319.4432901,150.55295878172302,1264.7681772367916,0.9234623645400899,89
26000,104.00000000003517,-1793759.9699774897,153223.22518626816,-1640536.7447912216,157.0007977644493,1264.7681772367916,0.9234623645400899,89
27000,108.00000000004006,-1787857.4699774897,158737.15594757878,-1629120.3140299108,162.65066923329033,1264.7681772367916,0.9234623645400899,89
28000,112.00000000004495,-1781090.9699774897,163792.94011431333,-1617298.0298631764,167.83109893993074,1264.7681772367916,0.9234623645400899,89
29000,116.00000000004984,-1771964.9699774897,170739.36906893784,-1601225.6009085518,174.94878547971163,1264.7681772367916,0.9234623645400899,88.9
30000,120.00000000005473,-1766017.4699774897,175751.6994539043,-1590265.7705235854,180.08469009301072,1264.7681772367916,0.9234623645400899,88.9
31000,124.00000000005961,-1757604.4699774897,181591.3006971279,-1576013.1692803618,186.06826113909614,1264.7681772367916,0.9234623645400899,88.9
32000,128.0000000000645,-1747818.9699774897,187693.62002868686,-1560125.3499488027,192.32102733758518,1264.7681772367916,0.9234623645400899,88.8
33000,132.00000000005517,-1738514.4699774897,192755.6861933501,-1545758.7837841397,197.50789391882574,1264.7681772367916,0.9234623645400899,88.8
34000,136.00000000004584,-1726107.4699774897,199128.9254675824,-1526978.5445099073,204.03825933295795,1264.7681772367916,0.9234623645400899,88.8
35000,140.00000000003652,-1713316.4699774897,204825.55512696822,-1508490.9148505214,209.87533396707386,1264.7681772367916,0.9234623645400899,88.7
36000,144.0000000000272,-1701406.9699774897,210791.36357671142,-1490615.6064007783,215.98822373806607,1264.7681772367916,0.9234623645400899,88.7
37000,148.00000000001788,-1685247.9699774897,216631.11950617333,-1468616.8504713164,221.97195328403154,1264.7681772367916,0.9234623645400899,88.6
38000,152.00000000000855,-1668225.9699774897,222729.8886713285,-1445496.0813061611,228.22108179014782,1264.7681772367916,0.9234623645400899,88.6
39000,155.99999999999923,-1651054.9699774897,228562.61950377756,-1422492.3504737122,234.1976130420293,1264.7681772367916,0.9234623645400899,88.6
40000,159.9999999999899,-1635788.4699774897,234122.52569106466,-1401665.9442864251,239.89459341715457,1264.7681772367916,0.9234623645400899,88.6
41000,163.9999999999806,-1621220.9699774897,239847.93444264226,-1381373.0355348475,245.76115666455058,1264.7681772367916,0.9234623645400899,88.5
42000,167.99999999997127,-1607409.9699774897,246893.94967096887,-1360516.0203065209,252.98088468269492,1264.7681772367916,0.9234623645400899,88.5
43000,171.99999999996194,-1592976.9699774897,251043.43442055854,-1341933.535556931,257.23267102386495,1264.7681772367916,0.9234623645400899,88.5
44000,175.99999999995262,-1580489.9699774897,258849.58054788882,-1321640.389429601,265.23127024383854,1264.7681772367916,0.9234623645400899,88.4
45000,179.9999999999433,-1566919.9699774897,264119.4531539179,-1302800.5168235716,270.63106653619417,1264.7681772367916,0.9234623645400899,88.4
46000,183.99999999993398,-1555964.9699774897,269176.3419006482,-1286788.6280768416,275.8126280551973,1264.7681772367916,0.9234623645400899,88.3
47000,187.99999999992465,-1545440.4699774897,275185.4096513887,-1270255.060326101,281.969843644022,1264.7681772367916,0.9234623645400899,88.3
48000,191.99999999991533,-1531625.4699774897,280342.94164038246,-1251282.5283371073,287.2545296685024,1264.7681772367916,0.9234623645400899,88.3
49000,195.999999999906,-1519330.4699774897,286483.2444282381,-1232847.2255492515,293.54621576920067,1264.7681772367916,0.9234623645400899,88.2
