#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1853712.7658136068,6772.081689561877,-1846940.6841240448,7.107434397306488,1237.2307821423828,0.9216012436914336,0
2000,7.999999999999562,-1852164.7658136068,11663.176552779234,-1840501.5892608275,12.24073571658947,1237.2307821423828,0.9216012436914336,283
3000,11.999999999999122,-1848824.2658136068,17313.423108606683,-1831510.8427050002,18.17078183314017,1237.2307821423828,0.9216012436914336,300
4000,15.999999999998682,-1845462.7658136068,23094.648131489274,-1822368.1176821175,24.23829245539656,1237.2307821423828,0.9216012436914336,351
5000,20.000000000000018,-1842015.2658136068,28814.974195318544,-1813200.2916182883,30.2418884091393,1237.2307821423828,0.9216012436914336,356
6000,24.000000000001354,-1838857.7658136068,34462.19163491816,-1804395.5741786887,36.16875540797435,1237.2307821423828,0.9216012436914336,381
7000,28.00000000000269,-1835617.7658136068,40230.07226458732,-1795387.6935490195,42.222260824197484,1237.2307821423828,0.9216012436914336,399
8000,32.00000000000402,-1832059.7658136068,46128.293082443204,-1785931.4727311635,48.412560859761626,1237.2307821423828,0.9216012436914336,378
9000,36.000000000001805,-1828142.7658136068,51570.15695073078,-1776572.608862876,54.1239052020105,1237.2307821423828,0.9216012436914336,392
10000,39.99999999999959,-1824556.7658136068,57505.11265934657,-1767051.6531542602,60.35275923590733,1237.2307821423828,0.9216012436914336,382
11000,43.99999999999737,-1820595.7658136068,63104.952708724595,-1757490.8131048821,66.22990272159656,1237.2307821423828,0.9216012436914336,392
12000,47.999999999995154,-1816624.2658136068,68954.35902871776,-1747669.906784889,72.36897097096835,1237.2307821423828,0.9216012436914336,400
13000,51.99999999999294,-1812798.2658136068,74789.66616304524,-1738008.5996505616,78.49324184461905,1237.2307821423828,0.9216012436914336,397
14000,55.99999999999072,-1808287.2658136068,80147.00385204736,-1728140.2619615595,84.11587428088896,1237.2307821423828,0.9216012436914336,403
