#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1854253.7658136068,6750.109424495149,-1847503.6563891117,7.084374068196354,1237.2307821423828,0.9216012436914336,0
2000,7.999999999999562,-1852557.2658136068,11700.419966491467,-1840856.8458471154,12.279823419872706,1237.2307821423828,0.9216012436914336,286
3000,11.999999999999122,-1849236.7658136068,17350.253329665225,-1831886.5124839416,18.209435882516946,1237.2307821423828,0.9216012436914336,372
4000,15.999999999998682,-1845183.2658136068,23126.34146617876,-1822056.9243474281,24.27155524038107,1237.2307821423828,0.9216012436914336,413
5000,20.000000000000018,-1841716.7658136068,28944.198738171566,-1812772.5670754353,30.37751213651776,1237.2307821423828,0.9216012436914336,436
6000,24.000000000001354,-1838012.2658136068,34342.00052726081,-1803670.265286346,36.0426124504653,1237.2307821423828,0.9216012436914336,450
7000,28.00000000000269,-1834775.7658136068,40264.524723484115,-1794511.2410901226,42.25841936490327,1237.2307821423828,0.9216012436914336,458
8000,32.00000000000402,-1831754.2658136068,45790.79341250241,-1785963.4724011044,48.05834824491469,1237.2307821423828,0.9216012436914336,464
9000,36.000000000001805,-1828167.7658136068,51646.2762437417,-1776521.4895698652,54.20379391367184,1237.2307821423828,0.9216012436914336,468
10000,39.99999999999959,-1824349.7658136068,57390.409500331596,-1766959.3563132752,60.23237598962734,1237.2307821423828,0.9216012436914336,471
11000,43.99999999999737,-1820762.7658136068,63284.892889634546,-1757477.8729239723,66.4187535196057,1237.2307821423828,0.9216012436914336,474
12000,47.999999999995154,-1817409.7658136068,68841.44839244692,-1748568.31742116,72.25046901295298,1237.2307821423828,0.9216012436914336,476
13000,51.99999999999294,-1813005.7658136068,74668.5966274356,-1738337.1691861711,78.36617695950638,1237.2307821423828,0.9216012436914336,478
14000,55.99999999999072,-1809203.2658136068,80383.31276101689,-1728819.95305259,84.36388517989933,1237.2307821423828,0.9216012436914336,479
15000,59.9999999999885,-1804951.7658136068,85808.63277809195,-1719143.1330355147,90.0578664213231,1237.2307821423828,0.9216012436914336,480
16000,63.99999999998629,-1800575.7658136068,91878.93738835352,-1708696.8284252533,96.4287718189354,1237.2307821423828,0.9216012436914336,481
17000,67.99999999999118,-1795723.7658136068,97233.2988632029,-1698490.466950404,102.04828065926944,1237.2307821423828,0.9216012436914336,482
18000,71.99999999999606,-1790695.7658136068,103245.31575819025,-1687450.4500554164,108.35801194063932,1237.2307821423828,0.9216012436914336,483
19000,76.00000000000095,-1786662.7658136068,109003.18132257918,-1677659.5844910275,114.40100634669943,1237.2307821423828,0.9216012436914336,483
20000,80.00000000000584,-1781764.7658136068,114567.33049835413,-1667197.4353152527,120.24069155082252,1237.2307821423828,0.9216012436914336,484
21000,84.00000000001073,-1776953.7658136068,120117.12673167145,-1656836.6390819354,126.06531305642538,1237.2307821423828,0.9216012436914336,484
22000,88.00000000001562,-1772104.2658136068,125849.53281741237,-1646254.7329961944,132.0815872333779,1237.2307821423828,0.9216012436914336,485
23000,92.0000000000205,-1766709.7658136068,131648.25497184193,-1635061.510841765,138.16746144312654,1237.2307821423828,0.9216012436914336,485
24000,96.0000000000254,-1761145.7658136068,137280.39260026655,-1623865.3732133403,144.0785018802686,1237.2307821423828,0.9216012436914336,485
25000,100.00000000003028,-1755032.7658136068,143823.2885415372,-1611209.4772720695,150.94540127734194,1237.2307821423828,0.9216012436914336,485
26000,104.00000000003517,-1749023.2658136068,149056.14342523197,-1599967.1223883748,156.43738653407794,1237.2307821423828,0.9216012436914336,485
27000,108.00000000004006,-1744061.7658136068,153855.47681745945,-1590206.2889961475,161.474382364863,1237.2307821423828,0.9216012436914336,485
28000,112.00000000004495,-1736872.7658136068,160098.92240329098,-1576773.843410316,168.02700265927666,1237.2307821423828,0.9216012436914336,485
29000,116.00000000004984,-1731038.7658136068,166327.92646855174,-1564710.8393450552,174.56446629067898,1237.2307821423828,0.9216012436914336,484
30000,120.00000000005473,-1722409.7658136068,171393.64733591472,-1551016.1184776921,179.88104107378356,1237.2307821423828,0.9216012436914336,484
31000,124.00000000005961,-1713663.7658136068,177963.28498810832,-1535700.4808254985,186.7760064282345,1237.2307821423828,0.9216012436914336,483
32000,128.0000000000645,-1705338.7658136068,182929.56955283598,-1522409.1962607708,191.9882208344138,1237.2307821423828,0.9216012436914336,483
33000,132.00000000005517,-1696688.2658136068,189295.51456895657,-1507392.7512446502,198.66940671683994,1237.2307821423828,0.9216012436914336,482
34000,136.00000000004584,-1686443.2658136068,193382.90261800156,-1493060.363195605,202.95920175278866,1237.2307821423828,0.9216012436914336,482
35000,140.00000000003652,-1673878.2658136068,199876.48000850037,-1474001.7858051064,209.77434035011836,1237.2307821423828,0.9216012436914336,481
36000,144.0000000000272,-1662082.2658136068,205194.22732334794,-1456888.0384902589,215.35542190145108,1237.2307821423828,0.9216012436914336,480
37000,148.00000000001788,-1647959.7658136068,210072.35603581666,-1437887.40977779,220.47511498768904,1237.2307821423828,0.9216012436914336,480
38000,152.00000000000855,-1631615.2658136068,215817.45576176938,-1415797.8100518375,226.50471139245923,1237.2307821423828,0.9216012436914336,479
39000,155.99999999999923,-1614082.7658136068,222097.58611007233,-1391985.1797035346,233.09583307457,1237.2307821423828,0.9216012436914336,479
40000,159.9999999999899,-1596595.7658136068,229225.41166440895,-1367370.354149198,240.5766277319909,1237.2307821423828,0.9216012436914336,478
