#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1853940.7658136068,6679.16722146187,-1847261.598592145,7.00991881541395,1237.2307821423828,0.9216012436914336,0
2000,7.999999999999562,-1852339.7658136068,11680.182666983612,-1840659.583146623,12.258583971616726,1237.2307821423828,0.9216012436914336,286
3000,11.999999999999122,-1848878.2658136068,17336.355583564342,-1831541.9102300424,18.194849921624787,1237.2307821423828,0.9216012436914336,294
4000,15.999999999998682,-1845355.7658136068,23134.63385799671,-1822221.1319556101,24.280258270489764,1237.2307821423828,0.9216012436914336,346
5000,20.000000000000018,-1842263.2658136068,28808.44524785004,-1813454.8205657566,30.235036148941763,1237.2307821423828,0.9216012436914336,352
6000,24.000000000001354,-1838792.2658136068,34455.75734919559,-1804336.5084644111,36.16200249716154,1237.2307821423828,0.9216012436914336,377
7000,28.00000000000269,-1834996.2658136068,40180.83362221029,-1794815.4321913966,42.17058388990318,1237.2307821423828,0.9216012436914336,395
8000,32.00000000000402,-1831539.7658136068,46254.68031527969,-1785285.0854983272,48.54520677385728,1237.2307821423828,0.9216012436914336,374
9000,36.000000000001805,-1828459.2658136068,51790.03239175715,-1776669.2334218496,54.354668849631956,1237.2307821423828,0.9216012436914336,387
10000,39.99999999999959,-1824251.7658136068,57441.06210102519,-1766810.7037125817,60.28553690129171,1237.2307821423828,0.9216012436914336,375
11000,43.99999999999737,-1820066.2658136068,63595.60026759128,-1756470.6655460156,66.74484709124563,1237.2307821423828,0.9216012436914336,385
12000,47.999999999995154,-1816959.7658136068,68623.16090031911,-1748336.6049132878,72.02137194927721,1237.2307821423828,0.9216012436914336,394
13000,51.99999999999294,-1813075.7658136068,74731.87060012345,-1738343.8952134834,78.43258425205705,1237.2307821423828,0.9216012436914336,391
14000,55.99999999999072,-1808977.2658136068,80216.16898317303,-1728761.0968304337,84.18846446136692,1237.2307821423828,0.9216012436914336,397
15000,59.9999999999885,-1804278.2658136068,85561.78439289925,-1718716.4814207074,89.79879413243705,1237.2307821423828,0.9216012436914336,385
16000,63.99999999998629,-1801175.7658136068,91903.54563786398,-1709272.2201757429,96.45459866613629,1237.2307821423828,0.9216012436914336,391
17000,67.99999999999118,-1796942.7658136068,97829.71168271075,-1699113.054130896,102.67422777312342,1237.2307821423828,0.9216012436914336,396
18000,71.99999999999606,-1792480.7658136068,103241.35779137195,-1689239.408022235,108.35385797575861,1237.2307821423828,0.9216012436914336,393
19000,76.00000000000095,-1786884.7658136068,108819.43386988522,-1678065.3319437215,114.20815974124464,1237.2307821423828,0.9216012436914336,397
20000,80.00000000000584,-1783237.7658136068,115103.83095201156,-1668133.9348615953,120.80375944534788,1237.2307821423828,0.9216012436914336,386
