#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1854088.7658136068,6766.389373803851,-1847322.376439803,7.101460198725675,1237.2307821423828,0.9216012436914336,0
2000,7.999999999999562,-1852462.7658136068,11659.52850441465,-1840803.237309192,12.236907017288711,1237.2307821423828,0.9216012436914336,281
3000,11.999999999999122,-1848786.7658136068,17302.01110445308,-1831484.7547091537,18.158804707851125,1237.2307821423828,0.9216012436914336,299
4000,15.999999999998682,-1845343.7658136068,23038.732102688435,-1822305.0337109184,24.179607471269385,1237.2307821423828,0.9216012436914336,350
5000,20.000000000000018,-1841779.7658136068,28751.851943009493,-1813027.9138705973,30.175640350143155,1237.2307821423828,0.9216012436914336,356
6000,24.000000000001354,-1837962.7658136068,34606.69608223376,-1803356.069731373,36.320415698930034,1237.2307821423828,0.9216012436914336,380
7000,28.00000000000269,-1834608.7658136068,40513.9508851619,-1794094.8149284448,42.520197081469995,1237.2307821423828,0.9216012436914336,398
8000,32.00000000000402,-1831224.2658136068,45881.72236728866,-1785342.5434463182,48.153779991102134,1237.2307821423828,0.9216012436914336,377
9000,36.000000000001805,-1827476.7658136068,51839.35984863198,-1775637.4059649748,54.4064389965078,1237.2307821423828,0.9216012436914336,389
10000,39.99999999999959,-1823556.7658136068,57304.741591716636,-1766252.0242218901,60.142465816013555,1237.2307821423828,0.9216012436914336,378
11000,43.99999999999737,-1820128.7658136068,62926.37540277508,-1757202.3904108317,66.04248228795939,1237.2307821423828,0.9216012436914336,388
12000,47.999999999995154,-1815927.7658136068,69160.59595622946,-1746767.1698573774,72.58542072745175,1237.2307821423828,0.9216012436914336,396
13000,51.99999999999294,-1812822.2658136068,74646.43937819338,-1738175.8264354134,78.34292248582561,1237.2307821423828,0.9216012436914336,392
14000,55.99999999999072,-1808593.7658136068,80302.65144392116,-1728291.1143696855,84.27922952364199,1237.2307821423828,0.9216012436914336,399
15000,59.9999999999885,-1804447.7658136068,86283.08932982369,-1718164.6764837832,90.55581800702285,1237.2307821423828,0.9216012436914336,386
16000,63.99999999998629,-1800153.7658136068,91935.83709679008,-1708217.9287168167,96.48848919440094,1237.2307821423828,0.9216012436914336,392
17000,67.99999999999118,-1796390.7658136068,97993.36452706266,-1698397.401286544,102.84598468753816,1237.2307821423828,0.9216012436914336,396
18000,71.99999999999606,-1791012.7658136068,103140.24901209152,-1687872.5168015154,108.24774230133681,1237.2307821423828,0.9216012436914336,393
19000,76.00000000000095,-1787368.7658136068,108840.39707141287,-1678528.368742194,114.23016103810508,1237.2307821423828,0.9216012436914336,398
20000,80.00000000000584,-1781921.7658136068,114958.83254774091,-1666962.9332658658,120.65158073674543,1237.2307821423828,0.9216012436914336,389
21000,84.00000000001073,-1777729.7658136068,120383.19134427854,-1657346.5744693282,126.34455315810112,1237.2307821423828,0.9216012436914336,393
22000,88.00000000001562,-1771532.7658136068,125459.86601207341,-1646072.8998015334,131.67262417257734,1237.2307821423828,0.9216012436914336,397
23000,92.0000000000205,-1766013.2658136068,131828.06442564868,-1634185.2013879581,138.35617504044137,1237.2307821423828,0.9216012436914336,395
24000,96.0000000000254,-1761715.2658136068,137389.55951145908,-1624325.7063021478,144.1930747243696,1237.2307821423828,0.9216012436914336,398
25000,100.00000000003028,-1756453.7658136068,143319.96950645326,-1613133.7963071535,150.41715794142817,1237.2307821423828,0.9216012436914336,391
26000,104.00000000003517,-1749910.7658136068,149050.2438701103,-1600860.5219434965,156.43119483366397,1237.2307821423828,0.9216012436914336,394
27000,108.00000000004006,-1743691.7658136068,155535.83345355612,-1588155.9323600507,163.2379500686525,1237.2307821423828,0.9216012436914336,397
28000,112.00000000004495,-1736676.7658136068,161508.76866065583,-1575167.997152951,169.50666434143767,1237.2307821423828,0.9216012436914336,392
29000,116.00000000004984,-1729836.7658136068,165527.8393521477,-1564308.9264614591,173.72475895213097,1237.2307821423828,0.9216012436914336,395
30000,120.00000000005473,-1723502.7658136068,171648.7203543282,-1551854.0454592786,180.1487452787832,1237.2307821423828,0.9216012436914336,393
31000,124.00000000005961,-1715303.7658136068,177003.67163398297,-1538300.0941796238,185.76887313098885,1237.2307821423828,0.9216012436914336,395
32000,128.0000000000645,-1706310.7658136068,183212.17176256637,-1523098.5940510405,192.28481747312367,1237.2307821423828,0.9216012436914336,397
33000,132.00000000005517,-1697408.7658136068,188329.5664083518,-1509079.199405255,197.65562491422534,1237.2307821423828,0.9216012436914336,391
34000,136.00000000004584,-1685390.7658136068,194182.1644893398,-1491208.601324267,203.79804298022998,1237.2307821423828,0.9216012436914336,393
