#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1853925.7658136068,6733.581126580354,-1847192.1846870265,7.0670272908664815,1237.2307821423828,0.9216012436914336,0
2000,7.999999999999562,-1852498.7658136068,11697.238017877411,-1840801.5277957295,12.276483901528612,1237.2307821423828,0.9216012436914336,283
3000,11.999999999999122,-1848691.2658136068,17382.88324596607,-1831308.3825676406,18.243681628526673,1237.2307821423828,0.9216012436914336,365
4000,15.999999999998682,-1845079.7658136068,23006.888369990087,-1822072.8774436167,24.14618684058389,1237.2307821423828,0.9216012436914336,404
5000,20.000000000000018,-1841590.2658136068,28917.25497608783,-1812673.010837519,30.349234122429124,1237.2307821423828,0.9216012436914336,427
6000,24.000000000001354,-1838420.2658136068,34654.268740139276,-1803765.9970734676,36.37034414939308,1237.2307821423828,0.9216012436914336,441
7000,28.00000000000269,-1834955.7658136068,40242.44536747984,-1794713.3204461269,42.23524664172466,1237.2307821423828,0.9216012436914336,452
8000,32.00000000000402,-1831634.7658136068,45751.797349292654,-1785882.9684643142,48.01742110113203,1237.2307821423828,0.9216012436914336,460
9000,36.000000000001805,-1828001.2658136068,51712.389611803934,-1776288.8762018029,54.27318120812985,1237.2307821423828,0.9216012436914336,465
10000,39.99999999999959,-1824096.7658136068,57514.75415227389,-1766582.0116613328,60.36287817445744,1237.2307821423828,0.9216012436914336,469
11000,43.99999999999737,-1820700.2658136068,63226.910175459576,-1757473.3556381473,66.35789950808194,1237.2307821423828,0.9216012436914336,472
12000,47.999999999995154,-1816816.7658136068,68549.86180323205,-1748266.9040103748,71.94444308931809,1237.2307821423828,0.9216012436914336,474
13000,51.99999999999294,-1812982.7658136068,74602.0130837212,-1738380.7527298855,78.29629620635188,1237.2307821423828,0.9216012436914336,476
14000,55.99999999999072,-1808484.2658136068,80260.11884018284,-1728224.146973424,84.23459071024985,1237.2307821423828,0.9216012436914336,478
15000,59.9999999999885,-1804834.7658136068,86056.6836781241,-1718778.0821354827,90.3182007734454,1237.2307821423828,0.9216012436914336,479
16000,63.99999999998629,-1800468.7658136068,91449.77283588477,-1709018.992977722,95.97835508710203,1237.2307821423828,0.9216012436914336,479
17000,67.99999999999118,-1796669.7658136068,97436.9403300958,-1699232.825483511,102.2620064282222,1237.2307821423828,0.9216012436914336,480
18000,71.99999999999606,-1791969.2658136068,103315.2287537201,-1688654.0370598866,108.4313870196809,1237.2307821423828,0.9216012436914336,481
19000,76.00000000000095,-1787291.7658136068,109172.57865497009,-1678119.1871586367,114.57879221554131,1237.2307821423828,0.9216012436914336,481
20000,80.00000000000584,-1782617.7658136068,114698.9083680493,-1667918.8574455576,120.37878514151816,1237.2307821423828,0.9216012436914336,482
21000,84.00000000001073,-1777843.7658136068,120376.12545447303,-1657467.6403591337,126.3371373662437,1237.2307821423828,0.9216012436914336,482
22000,88.00000000001562,-1772342.7658136068,126456.65310182257,-1645886.1127117842,132.71877204456683,1237.2307821423828,0.9216012436914336,482
23000,92.0000000000205,-1766638.7658136068,132096.53656454253,-1634542.2292490643,138.6379418888292,1237.2307821423828,0.9216012436914336,482
24000,96.0000000000254,-1761275.2658136068,136911.2324648413,-1624364.0333487655,143.69106097732143,1237.2307821423828,0.9216012436914336,482
25000,100.00000000003028,-1755667.7658136068,143954.99338830018,-1611712.7724253065,151.08362813299522,1237.2307821423828,0.9216012436914336,482
26000,104.00000000003517,-1749877.7658136068,148912.12509535393,-1600965.6407182529,156.28623643303948,1237.2307821423828,0.9216012436914336,482
27000,108.00000000004006,-1742716.7658136068,154877.18908934132,-1587839.5767242655,162.5466897111427,1237.2307821423828,0.9216012436914336,482
28000,112.00000000004495,-1736706.7658136068,160379.2757632506,-1576327.4900503561,168.32123908543332,1237.2307821423828,0.9216012436914336,482
29000,116.00000000004984,-1729335.7658136068,166719.014846656,-1562616.7509669508,174.97492132036496,1237.2307821423828,0.9216012436914336,481
30000,120.00000000005473,-1722354.7658136068,171685.0331694383,-1550669.7326441684,180.18685630032837,1237.2307821423828,0.9216012436914336,480
31000,124.00000000005961,-1713930.7658136068,177330.68430750078,-1536600.081506106,186.11207943455398,1237.2307821423828,0.9216012436914336,480
32000,128.0000000000645,-1705651.2658136068,182878.65476343286,-1522772.6110501739,191.9347847504851,1237.2307821423828,0.9216012436914336,479
33000,132.00000000005517,-1696741.7658136068,188958.57966376684,-1507783.18614984,198.3157868338297,1237.2307821423828,0.9216012436914336,478
34000,136.00000000004584,-1686405.2658136068,194496.95660616065,-1491908.3092074462,204.1284235665336,1237.2307821423828,0.9216012436914336,478
35000,140.00000000003652,-1673726.7658136068,199197.89579659252,-1474528.8700170142,209.06215272594707,1237.2307821423828,0.9216012436914336,477
36000,144.0000000000272,-1660857.7658136068,204604.35776587692,-1456253.4080477299,214.73634207121876,1237.2307821423828,0.9216012436914336,477
37000,148.00000000001788,-1647485.7658136068,211744.99734740212,-1435740.7684662046,222.23058530498338,1237.2307821423828,0.9216012436914336,476
38000,152.00000000000855,-1630867.7658136068,216399.1242721416,-1414468.6415414652,227.11518406068205,1237.2307821423828,0.9216012436914336,475
39000,155.99999999999923,-1614128.7658136068,221931.70943877238,-1392197.0563748344,232.9217422095521,1237.2307821423828,0.9216012436914336,474
40000,159.9999999999899,-1597259.7658136068,227428.08004873648,-1369831.6857648704,238.69029246106723,1237.2307821423828,0.9216012436914336,473
41000,163.9999999999806,-1582911.7658136068,234527.01231540556,-1348384.7534982013,246.1407630385326,1237.2307821423828,0.9216012436914336,473
42000,167.99999999997127,-1568655.2658136068,240746.38610949164,-1327908.8797041152,252.66811950883732,1237.2307821423828,0.9216012436914336,472
43000,171.99999999996194,-1555150.7658136068,246065.71231312642,-1309085.0535004805,258.2508581353487,1237.2307821423828,0.9216012436914336,471
44000,175.99999999995262,-1542221.2658136068,252624.46097947005,-1289596.8048341367,265.1343952826206,1237.2307821423828,0.9216012436914336,470
45000,179.9999999999433,-1530931.7658136068,258397.83156396754,-1272533.9342496393,271.19366251560484,1237.2307821423828,0.9216012436914336,469
46000,183.99999999993398,-1517845.7658136068,262191.6339312162,-1255654.1318823905,275.1753335405021,1237.2307821423828,0.9216012436914336,468
47000,187.99999999992465,-1506169.7658136068,269418.57641669357,-1236751.1893969132,282.76015338811396,1237.2307821423828,0.9216012436914336,467
48000,191.99999999991533,-1496605.7658136068,273514.2213283532,-1223091.5444852535,287.058614165566,1237.2307821423828,0.9216012436914336,466
49000,195.999999999906,-1483193.7658136068,281184.28251573874,-1202009.4832978682,295.1084959023287,1237.2307821423828,0.9216012436914336,466
50000,199.9999999998967,-1471181.2658136068,287620.0135405491,-1183561.2522730576,301.8629235885826,1237.2307821423828,0.9216012436914336,465
51000,203.99999999988736,-1473561.7658136068,285595.739842118,-1187966.0259714888,299.738408089018,1237.2307821423828,0.9216012436914336,464
52000,207.99999999987804,-1473071.5049762046,286730.7050932055,-1186340.7998829992,300.9295766890306,1237.2307821423828,0.9216012436914336,404
53000,211.99999999986872,-1471980.6407186054,288159.1472881854,-1183821.4934304198,302.42875517750235,1237.2307821423828,0.9216012436914336,399
54000,215.9999999998594,-1472705.044430133,288432.46996678144,-1184272.5744633516,302.71561276376144,1237.2307821423828,0.9216012436914336,394
55000,219.99999999985008,-1473620.5265573766,287375.3589176767,-1186245.1676396998,301.6061536968751,1237.2307821423828,0.9216012436914336,389
56000,223.99999999984075,-1474035.662758138,287377.71133779496,-1186657.951420343,301.6086226085675,1237.2307821423828,0.9216012436914336,385
57000,227.99999999983143,-1473987.3654627893,286913.3940161237,-1187073.9714466655,301.12131234643675,1237.2307821423828,0.9216012436914336,381
58000,231.9999999998221,-1472525.2463074848,286478.5882425118,-1186046.658064973,300.66497504083685,1237.2307821423828,0.9216012436914336,377
59000,235.9999999998128,-1472142.950817396,287323.40600325674,-1184819.5448141391,301.5516280800979,1237.2307821423828,0.9216012436914336,373
60000,239.99999999980346,-1473132.4265380567,287431.4922570566,-1185700.9342810002,301.6650667527762,1237.2307821423828,0.9216012436914336,369
61000,243.99999999979414,-1474603.0286780363,285464.2598321097,-1189138.7688459265,299.6004172040096,1237.2307821423828,0.9216012436914336,366
