#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-540073.7836122732,2045.1886549064875,-538028.5949573667,7.271051020758746,375.2327489829658,0.8968361486478333,0
2000,7.999999999999562,-539789.0336122732,3476.9351563384757,-536312.0984559347,12.36119360282818,375.2327489829658,0.8968361486478333,1.14e+03
3000,11.999999999999122,-538530.5336122732,5081.031355749537,-533449.5022565236,18.064073520601006,375.2327489829658,0.8968361486478333,783
4000,15.999999999998682,-537485.2836122732,6753.901209146148,-530731.382403127,24.011457409102047,375.2327489829658,0.8968361486478333,870
5000,20.000000000000018,-536387.5336122732,8518.333607917913,-527869.2000043553,30.284364293937003,375.2327489829658,0.8968361486478333,921
6000,24.000000000001354,-535599.1586122732,10184.585023149673,-525414.5735891236,36.20821832299993,375.2327489829658,0.8968361486478333,951
7000,28.00000000000269,-534651.9086122732,11892.726360313158,-522759.18225196004,42.28099932703432,375.2327489829658,0.8968361486478333,972
8000,32.00000000000402,-533630.4086122732,13422.664165055074,-520207.7444472181,47.720231453703214,375.2327489829658,0.8968361486478333,987
9000,36.000000000001805,-532520.2836122732,15338.678604457324,-517181.6050078159,54.53204253625648,375.2327489829658,0.8968361486478333,997
10000,39.99999999999959,-531652.5336122732,16959.052104052113,-514693.48150822107,60.292791482312914,375.2327489829658,0.8968361486478333,1.01e+03
11000,43.99999999999737,-530351.5336122732,18658.83477441811,-511692.6988378551,66.33585576921011,375.2327489829658,0.8968361486478333,1.01e+03
12000,47.999999999995154,-529270.4086122732,20287.701968810834,-508982.70664346236,72.12680148370762,375.2327489829658,0.8968361486478333,1.02e+03
13000,51.99999999999294,-528066.0336122732,21910.877339484112,-506155.15627278906,77.89751163677369,375.2327489829658,0.8968361486478333,1.02e+03
14000,55.99999999999072,-526948.0336122732,23612.779437064688,-503335.2541752085,83.94811090748522,375.2327489829658,0.8968361486478333,1.02e+03
15000,59.9999999999885,-525797.5336122732,25391.46082755248,-500406.0727847207,90.27167578199416,375.2327489829658,0.8968361486478333,1.02e+03
16000,63.99999999998629,-524763.2836122732,27155.555556561565,-497607.7280557116,96.54338218389726,375.2327489829658,0.8968361486478333,1.02e+03
17000,67.99999999999118,-523349.15861227317,28995.05175687666,-494354.10685539653,103.08315576072383,375.2327489829658,0.8968361486478333,1.02e+03
18000,71.99999999999606,-522144.03361227317,30779.39117574897,-491364.6424365242,109.42683604755038,375.2327489829658,0.8968361486478333,1.02e+03
19000,76.00000000000095,-520879.53361227317,32154.76605083648,-488724.7675614367,114.31656632521428,375.2327489829658,0.8968361486478333,1.02e+03
20000,80.00000000000584,-519272.90861227317,33941.871705794125,-485331.03690647904,120.670081129587,375.2327489829658,0.8968361486478333,1.02e+03
21000,84.00000000001073,-518070.03361227317,35312.45025645202,-482757.58335582115,125.54275952328112,375.2327489829658,0.8968361486478333,1.02e+03
22000,88.00000000001562,-516479.90861227317,36935.69953289423,-479544.2090793789,131.3137324260037,375.2327489829658,0.8968361486478333,1.02e+03
23000,92.0000000000205,-514840.65861227317,39028.83714937244,-475811.8214629007,138.75525150854443,375.2327489829658,0.8968361486478333,1.02e+03
24000,96.0000000000254,-513776.90861227317,40569.336970427976,-473207.57164184516,144.23203369658012,375.2327489829658,0.8968361486478333,1.02e+03
25000,100.00000000003028,-512348.53361227317,42707.19939074479,-469641.3342215284,151.83255832113957,375.2327489829658,0.8968361486478333,1.02e+03
26000,104.00000000003517,-510539.03361227317,44047.11901628249,-466491.9145959907,156.59623815948976,375.2327489829658,0.8968361486478333,1.02e+03
27000,108.00000000004006,-509028.03361227317,45588.26048695593,-463439.77312531724,162.07530153909084,375.2327489829658,0.8968361486478333,1.02e+03
28000,112.00000000004495,-506583.78361227317,47453.97503947484,-459129.8085727983,168.70828655443032,375.2327489829658,0.8968361486478333,1.02e+03
29000,116.00000000004984,-504283.03361227317,49039.89487152906,-455243.1387407441,174.34654588372754,375.2327489829658,0.8968361486478333,1.02e+03
30000,120.00000000005473,-502385.28361227317,50601.83155756886,-451783.4520547043,179.89954037552886,375.2327489829658,0.8968361486478333,1.02e+03
31000,124.00000000005961,-500429.78361227317,52556.83907368861,-447872.94453858456,186.84997957416772,375.2327489829658,0.8968361486478333,1.02e+03
32000,128.0000000000645,-498050.28361227317,54000.888329137466,-444049.3952831357,191.98386088514997,375.2327489829658,0.8968361486478333,1.02e+03
33000,132.00000000005517,-495339.40861227317,55181.77033027698,-440157.6382819962,196.1821304478049,375.2327489829658,0.8968361486478333,1.02e+03
34000,136.00000000004584,-491446.28361227317,56881.39875329017,-434564.884858983,202.2246463547913,375.2327489829658,0.8968361486478333,1.01e+03
35000,140.00000000003652,-489147.28361227317,58817.07917095744,-430330.2044413157,209.10637388783684,375.2327489829658,0.8968361486478333,1.01e+03
36000,144.0000000000272,-485382.03361227317,60471.65041841808,-424910.38319385506,214.98870260548605,375.2327489829658,0.8968361486478333,1.01e+03
