#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-3274064.4853935298,12514.098492350986,-3261550.386901179,7.531996831825852,2258.7713194962776,0.8810784399409599,0
2000,7.999999999999562,-3275806.4853935298,20813.0157807689,-3254993.469612761,12.526956617555127,2258.7713194962776,0.8810784399409599,237
3000,11.999999999999122,-3271536.4853935298,30462.666517175636,-3241073.818876354,18.334897063226588,2258.7713194962776,0.8810784399409599,153
4000,15.999999999998682,-3267078.4853935298,40391.44568199128,-3226687.0397115387,24.310839577903135,2258.7713194962776,0.8810784399409599,172
5000,20.000000000000018,-3261880.4853935298,50116.522299313,-3211763.963094217,30.16417742047351,2258.7713194962776,0.8810784399409599,182
6000,24.000000000001354,-3256375.4853935298,60153.14873871003,-3196222.3366548195,36.20503114956671,2258.7713194962776,0.8810784399409599,188
7000,28.00000000000269,-3250670.4853935298,70491.74702888189,-3180178.738364648,42.42763596722028,2258.7713194962776,0.8810784399409599,193
8000,32.00000000000402,-3245088.4853935298,80095.07450961026,-3164993.4108839193,48.207695330189495,2258.7713194962776,0.8810784399409599,194
9000,36.000000000001805,-3239040.4853935298,90296.67475266519,-3148743.8106408645,54.34784364029027,2258.7713194962776,0.8810784399409599,196
10000,39.99999999999959,-3233569.4853935298,100119.61659502494,-3133449.8687985046,60.26008469233937,2258.7713194962776,0.8810784399409599,197
11000,43.99999999999737,-3227730.4853935298,110016.37199277108,-3117714.1134007587,66.21675271335118,2258.7713194962776,0.8810784399409599,198
12000,47.999999999995154,-3221202.4853935298,120082.168327135,-3101120.3170663947,72.27516324500668,2258.7713194962776,0.8810784399409599,198
13000,51.99999999999294,-3214960.4853935298,130099.48447775346,-3084861.0009157765,78.30439448015909,2258.7713194962776,0.8810784399409599,199
14000,55.99999999999072,-3207796.4853935298,139962.41571835984,-3067834.06967517,84.24070438711487,2258.7713194962776,0.8810784399409599,199
15000,59.9999999999885,-3201378.4853935298,149699.00592101784,-3051679.479472512,90.10097203676074,2258.7713194962776,0.8810784399409599,199
16000,63.99999999998629,-3193333.4853935298,159816.59275866408,-3033516.892634866,96.19055428301313,2258.7713194962776,0.8810784399409599,200
17000,67.99999999999118,-3184834.4853935298,169492.19176111516,-3015342.2936324147,102.01411249433961,2258.7713194962776,0.8810784399409599,200
18000,71.99999999999606,-3177560.4853935298,179808.80463766068,-2997751.680755869,108.22348471150812,2258.7713194962776,0.8810784399409599,200
19000,76.00000000000095,-3169347.4853935298,190411.40479048403,-2978936.080603046,114.6049872071928,2258.7713194962776,0.8810784399409599,201
20000,80.00000000000584,-3159276.4853935298,199114.10404660882,-2960162.381346921,119.84297564603486,2258.7713194962776,0.8810784399409599,201
21000,84.00000000001073,-3150897.4853935298,209779.81592582958,-2941117.6694677,126.26246388424562,2258.7713194962776,0.8810784399409599,202
22000,88.00000000001562,-3141472.4853935298,219428.76338073786,-2922043.722012792,132.0699810382176,2258.7713194962776,0.8810784399409599,202
23000,92.0000000000205,-3130738.4853935298,230215.79844495727,-2900522.6869485723,138.56249138390143,2258.7713194962776,0.8810784399409599,202
24000,96.0000000000254,-3120660.4853935298,240044.03530996354,-2880616.4500835664,144.4779194089332,2258.7713194962776,0.8810784399409599,203
25000,100.00000000003028,-3111160.4853935298,249225.55900016188,-2861934.926393368,150.0041031278945,2258.7713194962776,0.8810784399409599,203
26000,104.00000000003517,-3099390.4853935298,259471.42331108951,-2839919.06208244,156.17089313489296,2258.7713194962776,0.8810784399409599,204
27000,108.00000000004006,-3087445.4853935298,269679.9988929726,-2817765.486500557,162.3152397681879,2258.7713194962776,0.8810784399409599,204
28000,112.00000000004495,-3076510.4853935298,279454.2132964619,-2797056.272097068,168.19815270559738,2258.7713194962776,0.8810784399409599,204
29000,116.00000000004984,-3062621.4853935298,289054.468195114,-2773567.017198416,173.97636274010893,2258.7713194962776,0.8810784399409599,204
30000,120.00000000005473,-3047952.4853935298,299222.32879680884,-2748730.156596721,180.09620380458696,2258.7713194962776,0.8810784399409599,204
31000,124.00000000005961,-3033298.4853935298,310389.1574646836,-2722909.3279288462,186.81730466529893,2258.7713194962776,0.8810784399409599,204
32000,128.0000000000645,-3016108.4853935298,318634.52379751776,-2697473.961596012,191.78003315382017,2258.7713194962776,0.8810784399409599,204
33000,132.00000000005517,-2997630.4853935298,328345.2112998495,-2669285.27409368,197.6247104629463,2258.7713194962776,0.8810784399409599,204
34000,136.00000000004584,-2978090.4853935298,339721.79670613585,-2638368.688687394,204.47205989762756,2258.7713194962776,0.8810784399409599,204
35000,140.00000000003652,-2951794.4853935298,348867.6495172427,-2602926.835876287,209.97677399586706,2258.7713194962776,0.8810784399409599,204
36000,144.0000000000272,-2927321.4853935298,357400.9529638764,-2569920.532429653,215.11280633286196,2258.7713194962776,0.8810784399409599,204
