#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1047372.8886503819,3968.0871012512216,-1043404.8015491307,7.348657007300884,706.9481240097067,0.913786768999103,0
2000,7.999999999999562,-1046744.1386503819,6587.534544143251,-1040156.6041062387,12.199715039871574,706.9481240097067,0.913786768999103,672
3000,11.999999999999122,-1044793.1386503819,9838.190898066816,-1034954.9477523151,18.21973375016026,706.9481240097067,0.913786768999103,447
4000,15.999999999998682,-1043308.6386503819,13062.574265127449,-1030246.0643852545,24.1910964798501,706.9481240097067,0.913786768999103,502
5000,20.000000000000018,-1041362.1386503819,16205.29242630917,-1025156.8462240727,30.01122019383247,706.9481240097067,0.913786768999103,534
6000,24.000000000001354,-1039107.1386503819,19464.54754017629,-1019642.5911102056,36.04716328680252,706.9481240097067,0.913786768999103,555
7000,28.00000000000269,-1037156.6386503819,22770.15031728873,-1014386.4883330932,42.16893944532507,706.9481240097067,0.913786768999103,569
8000,32.00000000000402,-1034967.1386503819,25973.410532093694,-1008993.7281182882,48.1011833762388,706.9481240097067,0.913786768999103,579
9000,36.000000000001805,-1033055.1386503819,29285.846839775273,-1003769.2918106066,54.2356148195422,706.9481240097067,0.913786768999103,587
10000,39.99999999999959,-1031223.6386503819,32825.451176223665,-998398.1874741582,60.79074769500558,706.9481240097067,0.913786768999103,593
11000,43.99999999999737,-1028876.8886503819,36035.51154808063,-992841.3771023013,66.73558510496748,706.9481240097067,0.913786768999103,597
12000,47.999999999995154,-1026911.6386503819,39129.44420798807,-987782.1944423938,72.46536102500126,706.9481240097067,0.913786768999103,601
13000,51.99999999999294,-1024822.1386503819,42280.76094225224,-982541.3777081297,78.30140877560953,706.9481240097067,0.913786768999103,603
14000,55.99999999999072,-1022239.6386503819,45427.88587230894,-976811.752778073,84.12969355867794,706.9481240097067,0.913786768999103,605
15000,59.9999999999885,-1019840.3886503819,48717.08606525198,-971123.30258513,90.22109312464629,706.9481240097067,0.913786768999103,607
16000,63.99999999998629,-1017067.6386503819,51691.09880841771,-965376.5398419643,95.72878462112972,706.9481240097067,0.913786768999103,608
17000,67.99999999999118,-1014361.3886503819,55380.101460184946,-958981.287190197,102.56059412911979,706.9481240097067,0.913786768999103,609
18000,71.99999999999606,-1011326.1386503819,58799.890763168325,-952526.2478872136,108.89383681850963,706.9481240097067,0.913786768999103,610
