#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-3274083.4853935298,12641.47716682067,-3261442.008226709,7.6086636227364615,2258.7713194962776,0.8810784399409599,0
2000,7.999999999999562,-3277548.4853935298,20894.834054979005,-3256653.6513385507,12.5762014738676,2258.7713194962776,0.8810784399409599,223
3000,11.999999999999122,-3273263.4853935298,30343.161500433187,-3242920.3238930968,18.262969276495358,2258.7713194962776,0.8810784399409599,146
4000,15.999999999998682,-3267937.4853935298,40441.47719240192,-3227496.008201128,24.34095258829176,2258.7713194962776,0.8810784399409599,165
5000,20.000000000000018,-3263043.4853935298,50440.41288298905,-3212603.0725105405,30.35912097566427,2258.7713194962776,0.8810784399409599,177
6000,24.000000000001354,-3258045.4853935298,60329.687560890015,-3197715.79783264,36.31128649430182,2258.7713194962776,0.8810784399409599,185
7000,28.00000000000269,-3252691.4853935298,70441.51887253179,-3182249.966520998,42.39740459939713,2258.7713194962776,0.8810784399409599,190
8000,32.00000000000402,-3247542.4853935298,80303.27381554362,-3167239.2115779864,48.33300651530099,2258.7713194962776,0.8810784399409599,194
9000,36.000000000001805,-3241742.4853935298,90358.5649185488,-3151383.920474981,54.38509414887797,2258.7713194962776,0.8810784399409599,196
10000,39.99999999999959,-3234924.4853935298,100035.21440098135,-3134889.270992548,60.20928462403848,2258.7713194962776,0.8810784399409599,198
11000,43.99999999999737,-3228308.4853935298,110283.58438674279,-3118024.901006787,66.37758274885472,2258.7713194962776,0.8810784399409599,200
12000,47.999999999995154,-3221148.4853935298,120411.02561787074,-3100737.4597756593,72.47309616630008,2258.7713194962776,0.8810784399409599,201
13000,51.99999999999294,-3214819.4853935298,129887.79399852881,-3084931.691395001,78.17698202453376,2258.7713194962776,0.8810784399409599,202
14000,55.99999999999072,-3207521.4853935298,139791.46040758106,-3067730.0249859486,84.13780965123304,2258.7713194962776,0.8810784399409599,203
15000,59.9999999999885,-3200182.4853935298,149721.05665045007,-3050461.42874308,90.11424394958168,2258.7713194962776,0.8810784399409599,204
16000,63.99999999998629,-3192966.4853935298,159471.68176993474,-3033494.803623595,95.98295894756335,2258.7713194962776,0.8810784399409599,205
17000,67.99999999999118,-3184957.4853935298,169954.57274369444,-3015002.9126498355,102.29241077511568,2258.7713194962776,0.8810784399409599,205
18000,71.99999999999606,-3177134.4853935298,179665.16426587995,-2997469.32112765,108.13703031562527,2258.7713194962776,0.8810784399409599,206
19000,76.00000000000095,-3169006.4853935298,190132.75492571635,-2978873.7304678136,114.4372731765016,2258.7713194962776,0.8810784399409599,207
20000,80.00000000000584,-3160638.4853935298,199408.75880681342,-2961229.7265867162,120.02032271755583,2258.7713194962776,0.8810784399409599,207
21000,84.00000000001073,-3150838.4853935298,209444.03541393977,-2941394.44997959,126.0603640083905,2258.7713194962776,0.8810784399409599,208
22000,88.00000000001562,-3141435.4853935298,219250.0718788647,-2922185.413514665,131.96243003669676,2258.7713194962776,0.8810784399409599,208
23000,92.0000000000205,-3133062.4853935298,230123.4550461094,-2902939.0303474204,138.50691165612577,2258.7713194962776,0.8810784399409599,208
24000,96.0000000000254,-3121814.4853935298,239594.4028657407,-2882220.0825277893,144.20729422986477,2258.7713194962776,0.8810784399409599,208
25000,100.00000000003028,-3111660.4853935298,250334.84989820982,-2861325.63549532,150.67176412918653,2258.7713194962776,0.8810784399409599,208
26000,104.00000000003517,-3099898.4853935298,260065.55432558188,-2839832.9310679478,156.5284892431209,2258.7713194962776,0.8810784399409599,208
27000,108.00000000004006,-3087290.4853935298,269205.67337104573,-2818084.812022484,162.02975229734923,2258.7713194962776,0.8810784399409599,208
28000,112.00000000004495,-3075236.4853935298,279334.1673234443,-2795902.3180700857,168.12589932761773,2258.7713194962776,0.8810784399409599,208
29000,116.00000000004984,-3063639.4853935298,290748.38265565934,-2772891.1027378705,174.99589749588938,2258.7713194962776,0.8810784399409599,208
