#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-3273993.4853935298,12784.977808063999,-3261208.507585466,7.695033917478058,2258.7713194962776,0.8810784399409599,0
2000,7.999999999999562,-3276014.4853935298,20774.7952155424,-3255239.6901779873,12.503952389454113,2258.7713194962776,0.8810784399409599,219
3000,11.999999999999122,-3272758.4853935298,30607.57248329403,-3242150.9129102356,18.422113196165252,2258.7713194962776,0.8810784399409599,144
4000,15.999999999998682,-3268202.4853935298,40574.940275344416,-3227627.545118185,24.421281468434664,2258.7713194962776,0.8810784399409599,165
5000,20.000000000000018,-3263772.4853935298,50220.65192355978,-3213551.83346997,30.22685105217022,2258.7713194962776,0.8810784399409599,178
6000,24.000000000001354,-3258832.4853935298,60471.55702799977,-3198360.92836553,36.39667501649194,2258.7713194962776,0.8810784399409599,186
7000,28.00000000000269,-3253417.4853935298,70437.4543970724,-3182980.030996457,42.39495826925982,2258.7713194962776,0.8810784399409599,192
8000,32.00000000000402,-3247977.4853935298,80155.09134827039,-3167822.3940452593,48.243818318906634,2258.7713194962776,0.8810784399409599,197
9000,36.000000000001805,-3241521.4853935298,90071.49146302458,-3151449.993930505,54.21231011982214,2258.7713194962776,0.8810784399409599,200
10000,39.99999999999959,-3235746.4853935298,100242.6086369579,-3135503.8767565717,60.33411125292183,2258.7713194962776,0.8810784399409599,202
11000,43.99999999999737,-3229739.4853935298,110426.87666922594,-3119312.608724304,66.46382763643874,2258.7713194962776,0.8810784399409599,203
12000,47.999999999995154,-3222646.4853935298,119924.31515134084,-3102722.170242189,72.1801544338884,2258.7713194962776,0.8810784399409599,205
13000,51.99999999999294,-3216122.4853935298,129972.91675822766,-3086149.568635302,78.22821578753793,2258.7713194962776,0.8810784399409599,206
14000,55.99999999999072,-3208822.4853935298,139922.013748803,-3068900.4716447266,84.21638721341772,2258.7713194962776,0.8810784399409599,207
15000,59.9999999999885,-3200974.4853935298,149914.37120202574,-3051060.114191504,90.23059628538147,2258.7713194962776,0.8810784399409599,208
16000,63.99999999998629,-3193676.4853935298,159512.73391259302,-3034163.7514809365,96.0076674480303,2258.7713194962776,0.8810784399409599,208
17000,67.99999999999118,-3186567.4853935298,169717.41983381196,-3016850.065559718,102.14967296887379,2258.7713194962776,0.8810784399409599,209
18000,71.99999999999606,-3177668.4853935298,179781.87037435942,-2997886.6150191706,108.2072734929392,2258.7713194962776,0.8810784399409599,209
19000,76.00000000000095,-3169862.4853935298,189941.95929379293,-2979920.526099737,114.32243693032281,2258.7713194962776,0.8810784399409599,210
20000,80.00000000000584,-3161222.4853935298,199643.0399681609,-2961579.445425369,120.16133207321212,2258.7713194962776,0.8810784399409599,210
21000,84.00000000001073,-3151346.4853935298,209645.75267971348,-2941700.732713816,126.18177377735316,2258.7713194962776,0.8810784399409599,210
22000,88.00000000001562,-3142666.4853935298,219801.82606736152,-2922864.6593261682,132.29452034286183,2258.7713194962776,0.8810784399409599,211
23000,92.0000000000205,-3132088.4853935298,229310.03291482714,-2902778.4524787026,138.01732841371324,2258.7713194962776,0.8810784399409599,211
24000,96.0000000000254,-3121406.4853935298,239609.45384148037,-2881797.0315520493,144.21635312465102,2258.7713194962776,0.8810784399409599,211
25000,100.00000000003028,-3111367.4853935298,249271.72039458953,-2862095.7649989403,150.03188678940188,2258.7713194962776,0.8810784399409599,211
26000,104.00000000003517,-3098953.4853935298,260917.7731332257,-2838035.712260304,157.04142346392146,2258.7713194962776,0.8810784399409599,211
27000,108.00000000004006,-3088300.4853935298,269113.69460930536,-2819186.7907842244,161.97439203768312,2258.7713194962776,0.8810784399409599,211
28000,112.00000000004495,-3075994.4853935298,279962.7321238223,-2796031.7532697073,168.50422047379845,2258.7713194962776,0.8810784399409599,211
29000,116.00000000004984,-3061036.4853935298,288851.40881871124,-2772185.0765748187,173.85414518039633,2258.7713194962776,0.8810784399409599,211
30000,120.00000000005473,-3047805.4853935298,299113.52759370574,-2748691.957799824,180.03071843881554,2258.7713194962776,0.8810784399409599,211
31000,124.00000000005961,-3033018.4853935298,307818.3652506468,-2725200.120142883,185.26999394026006,2258.7713194962776,0.8810784399409599,210
32000,128.0000000000645,-3016406.4853935298,318014.9008150727,-2698391.5845784573,191.40709391704212,2258.7713194962776,0.8810784399409599,210
33000,132.00000000005517,-2996892.4853935298,327925.69996888726,-2668966.7854246423,197.37221460656048,2258.7713194962776,0.8810784399409599,210
34000,136.00000000004584,-2975792.4853935298,338409.79215644207,-2637382.6932370877,203.68238942174992,2258.7713194962776,0.8810784399409599,210
35000,140.00000000003652,-2953692.4853935298,348085.0560203899,-2605607.42937314,209.50574591961328,2258.7713194962776,0.8810784399409599,209
36000,144.0000000000272,-2926997.4853935298,359056.86058137624,-2567940.6248121536,216.10946549583952,2258.7713194962776,0.8810784399409599,209
37000,148.00000000001788,-2900707.4853935298,369935.45888554386,-2530772.026507986,222.65708600656023,2258.7713194962776,0.8810784399409599,209
38000,152.00000000000855,-2874310.4853935298,377541.80195031926,-2496768.6834432106,227.2351985969867,2258.7713194962776,0.8810784399409599,208
39000,155.99999999999923,-2846895.4853935298,388336.17948774446,-2458559.3059057854,233.73212823703338,2258.7713194962776,0.8810784399409599,208
40000,159.9999999999899,-2824048.4853935298,397462.61124986666,-2426585.874143663,239.22515317687987,2258.7713194962776,0.8810784399409599,208
41000,163.9999999999806,-2799107.4853935298,406401.1260451182,-2392706.3593484117,244.6050744840531,2258.7713194962776,0.8810784399409599,207
42000,167.99999999997127,-2777660.4853935298,418771.6666198966,-2358888.8187736333,252.05066654760887,2258.7713194962776,0.8810784399409599,207
43000,171.99999999996194,-2750926.4853935298,427840.378007314,-2323086.1073862156,257.50895069652466,2258.7713194962776,0.8810784399409599,207
44000,175.99999999995262,-2727816.4853935298,437358.3582722936,-2290458.127121236,263.2376412006809,2258.7713194962776,0.8810784399409599,206
45000,179.9999999999433,-2707454.4853935298,448749.32426197466,-2258705.161131555,270.0936460338022,2258.7713194962776,0.8810784399409599,206
46000,183.99999999993398,-2683066.4853935298,461419.7714294098,-2221646.71396412,277.7197461465087,2258.7713194962776,0.8810784399409599,206
47000,187.99999999992465,-2666138.4853935298,469990.57153275044,-2196147.9138607793,282.87834700489515,2258.7713194962776,0.8810784399409599,206
48000,191.99999999991533,-2639887.4853935298,477818.2621963528,-2162069.223197177,287.58968448676035,2258.7713194962776,0.8810784399409599,205
49000,195.999999999906,-2622700.4853935298,488467.1281002863,-2134233.3572932435,293.99903345424616,2258.7713194962776,0.8810784399409599,205
50000,199.9999999998967,-2603132.4853935298,498116.24355034647,-2105016.2418431835,299.80665172129096,2258.7713194962776,0.8810784399409599,205
51000,203.99999999988736,-2601401.4853935298,499928.03858405695,-2101473.446809473,300.8971365422444,2258.7713194962776,0.8810784399409599,205
52000,207.99999999987804,-2595375.450409692,500338.7400926408,-2095036.710317051,301.1443299348304,2258.7713194962776,0.8810784399409599,160
53000,211.99999999986872,-2599677.2904314734,503024.61900382943,-2096652.6714276439,302.76090914443995,2258.7713194962776,0.8810784399409599,159
54000,215.9999999998594,-2599931.3570247237,499572.17804228835,-2100359.1789824353,300.6829508799843,2258.7713194962776,0.8810784399409599,158
55000,219.99999999985008,-2600811.5023153014,499367.7830481931,-2101443.7192671085,300.55992943749624,2258.7713194962776,0.8810784399409599,158
56000,223.99999999984075,-2598987.4932406787,500955.64936442836,-2098031.84387625,301.5156358410024,2258.7713194962776,0.8810784399409599,157
57000,227.99999999983143,-2599507.876063131,498807.4636706823,-2100700.4123924486,300.2226839076803,2258.7713194962776,0.8810784399409599,156
58000,231.9999999998221,-2599050.651382299,499977.14086235315,-2099073.510519946,300.926690265574,2258.7713194962776,0.8810784399409599,155
59000,235.9999999998128,-2600675.4290256146,499964.2881943896,-2100711.140831225,300.91895449024497,2258.7713194962776,0.8810784399409599,154
60000,239.99999999980346,-2602014.05113443,500445.77876333625,-2101568.2723710937,301.20875446601445,2258.7713194962776,0.8810784399409599,154
61000,243.99999999979414,-2599129.7467517722,499127.3526629797,-2100002.3940887926,300.4152189814606,2258.7713194962776,0.8810784399409599,153
62000,247.99999999978482,-2598937.4516757,501848.07355771237,-2097089.3781179877,302.0527689153959,2258.7713194962776,0.8810784399409599,153
63000,251.9999999997755,-2602598.663400065,498773.98782120075,-2103824.6755788643,300.20253543335014,2258.7713194962776,0.8810784399409599,152
64000,255.99999999976617,-2600458.3875771053,498888.7025362893,-2101569.685040816,300.27158002902263,2258.7713194962776,0.8810784399409599,151
65000,259.99999999978525,-2601237.1603643894,499746.62918688706,-2101490.531177502,300.7879496914631,2258.7713194962776,0.8810784399409599,151
66000,263.99999999980434,-2604432.309568763,502002.65007928,-2102429.6594894826,302.14580557092756,2258.7713194962776,0.8810784399409599,150
67000,267.99999999982344,-2602791.054398706,500472.23883492226,-2102318.815563784,301.22468027764825,2258.7713194962776,0.8810784399409599,150
68000,271.99999999984254,-2603355.5014717598,498420.83770374896,-2104934.6637680107,299.9899811237103,2258.7713194962776,0.8810784399409599,149
69000,275.99999999986164,-2601309.729392862,499928.0291861795,-2101381.7002066826,300.8971308858415,2258.7713194962776,0.8810784399409599,149
70000,279.99999999988074,-2601008.4974304307,500016.8853109677,-2100991.6121194633,300.95061168997626,2258.7713194962776,0.8810784399409599,149
71000,283.99999999989984,-2601543.129986681,499808.8614336648,-2101734.2685530162,300.82540609200635,2258.7713194962776,0.8810784399409599,148
72000,287.99999999991894,-2602609.746169852,499330.1694196259,-2103279.5767502263,300.53729051297637,2258.7713194962776,0.8810784399409599,148
73000,291.99999999993804,-2602724.958316507,497602.00037386804,-2105122.9579426385,299.4971385767052,2258.7713194962776,0.8810784399409599,147
74000,295.99999999995714,-2603750.741165651,498734.83562876517,-2105015.905536886,300.17897047662836,2258.7713194962776,0.8810784399409599,147
75000,299.99999999997624,-2604012.832008401,501164.8401964957,-2102847.991811905,301.6415438067533,2258.7713194962776,0.8810784399409599,147
76000,303.99999999999534,-2602928.3587393276,500365.8617848568,-2102562.496954471,301.1606539632828,2258.7713194962776,0.8810784399409599,146
77000,308.00000000001444,-2604034.882926468,500791.3287289479,-2103243.55419752,301.41673438944366,2258.7713194962776,0.8810784399409599,146
78000,312.00000000003354,-2601133.819737673,499533.8851165407,-2101599.934621132,300.65990309946784,2258.7713194962776,0.8810784399409599,145
79000,316.00000000005264,-2602300.2916190866,498443.5956711103,-2103856.6959479763,300.00367870953085,2258.7713194962776,0.8810784399409599,145
80000,320.00000000007174,-2602945.9833497275,499020.54160818516,-2103925.4417415424,300.3509314479393,2258.7713194962776,0.8810784399409599,145
81000,324.00000000009084,-2602238.105365295,499454.84708548366,-2102783.258279811,300.61233161839954,2258.7713194962776,0.8810784399409599,145
82000,328.00000000010994,-2602047.113615388,501296.6616609823,-2100750.4519544058,301.72088462810666,2258.7713194962776,0.8810784399409599,144
83000,332.00000000012903,-2602302.5355450474,499964.27399830706,-2102338.2615467403,300.91894594589405,2258.7713194962776,0.8810784399409599,144
84000,336.00000000014813,-2604005.279177269,499991.17300691264,-2104014.1061703563,300.93513594533516,2258.7713194962776,0.8810784399409599,144
85000,340.00000000016723,-2601846.1185336746,500985.2166642632,-2100860.9018694116,301.5334318339633,2258.7713194962776,0.8810784399409599,144
86000,344.00000000018633,-2603765.0460184067,498918.22978994984,-2104846.816228457,300.28935191895624,2258.7713194962776,0.8810784399409599,143
87000,348.00000000020543,-2602975.1514684483,502532.7730308501,-2100442.3784375982,302.46487644879744,2258.7713194962776,0.8810784399409599,143
88000,352.00000000022453,-2603525.9227637295,499334.36753289413,-2104191.5552308355,300.5398172771581,2258.7713194962776,0.8810784399409599,143
89000,356.00000000024363,-2602181.138500303,499408.7536414975,-2102772.3848588057,300.58458885496486,2258.7713194962776,0.8810784399409599,143
90000,360.00000000026273,-2603128.5272001605,499981.3789737073,-2103147.148226453,300.9292411038395,2258.7713194962776,0.8810784399409599,142
91000,364.00000000028183,-2601679.59873618,498936.3766835941,-2102743.222052586,300.3002741875894,2258.7713194962776,0.8810784399409599,142
92000,368.00000000030093,-2601145.515417844,499530.7028080488,-2101614.8126097955,300.6579877287767,2258.7713194962776,0.8810784399409599,142
93000,372.00000000032003,-2604344.632338932,498079.15615154884,-2106265.476187383,299.78432952441716,2258.7713194962776,0.8810784399409599,142
94000,376.0000000003391,-2605063.6334927417,500154.80677054723,-2104908.8267221944,301.03362398185084,2258.7713194962776,0.8810784399409599,142
95000,380.0000000003582,-2598590.2852410898,500847.4553290002,-2097742.8299120897,301.450515917856,2258.7713194962776,0.8810784399409599,141
96000,384.0000000003773,-2602664.5926623326,498961.30138359405,-2103703.2912787385,300.31527588839504,2258.7713194962776,0.8810784399409599,141
97000,388.0000000003964,-2600980.151436601,501181.5289514392,-2099798.6224851618,301.65158844955664,2258.7713194962776,0.8810784399409599,141
98000,392.0000000004155,-2600771.7556617893,503089.5598684602,-2097682.1957933293,302.7999958103275,2258.7713194962776,0.8810784399409599,141
99000,396.0000000004346,-2603651.506862022,500817.2010309254,-2102834.3058310966,301.43230643377797,2258.7713194962776,0.8810784399409599,141
100000,400.0000000004537,-2604068.5728070457,500941.7939360759,-2103126.77887097,301.50729652335053,2258.7713194962776,0.8810784399409599,140
101000,404.0000000004728,-2603157.309908081,499305.73589538335,-2103851.5740126977,300.5225844414765,2258.7713194962776,0.8810784399409599,140
102000,408.0000000004919,-2603557.7954356167,497947.09866793174,-2105610.696767685,299.70484664765775,2258.7713194962776,0.8810784399409599,140
103000,412.000000000511,-2602863.1862984654,501547.4062224496,-2101315.7800760157,301.87180298980275,2258.7713194962776,0.8810784399409599,140
104000,416.0000000005301,-2601685.8884945624,499184.2237953479,-2102501.6646992145,300.44944862965156,2258.7713194962776,0.8810784399409599,140
105000,420.0000000005492,-2603340.463192912,499162.69950385665,-2104177.763689055,300.436493569771,2258.7713194962776,0.8810784399409599,140
106000,424.0000000005683,-2604017.471508207,502380.65409907524,-2101636.8174091317,302.37331896961587,2258.7713194962776,0.8810784399409599,139
107000,428.0000000005874,-2602865.9036558624,498441.1670432224,-2104424.73661264,300.0022169647979,2258.7713194962776,0.8810784399409599,139
108000,432.0000000006065,-2603236.052415982,501280.21099509636,-2101955.8414208856,301.7109832865589,2258.7713194962776,0.8810784399409599,139
109000,436.0000000006256,-2603216.918786628,500022.72341687884,-2103194.1953697493,300.9541255344017,2258.7713194962776,0.8810784399409599,139
110000,440.0000000006447,-2604656.0399502143,500350.93281870184,-2104305.1071315124,301.15166850373487,2258.7713194962776,0.8810784399409599,139
111000,444.0000000006638,-2603906.290998565,500930.27229933697,-2102976.018699228,301.50036187028957,2258.7713194962776,0.8810784399409599,139
112000,448.0000000006829,-2603791.2422037907,501226.6587813846,-2102564.583422406,301.67875123210763,2258.7713194962776,0.8810784399409599,138
113000,452.000000000702,-2602841.1098972335,499038.656356803,-2103802.4535404304,300.3618343690952,2258.7713194962776,0.8810784399409599,138
114000,456.0000000007211,-2602195.4539794847,501402.7165681463,-2100792.7374113384,301.7847170508135,2258.7713194962776,0.8810784399409599,138
115000,460.0000000007402,-2602855.9354786146,501695.5152478576,-2101160.420230757,301.9609469829413,2258.7713194962776,0.8810784399409599,138
116000,464.0000000007593,-2605155.723684527,499948.5172360913,-2105207.206448436,300.9094622517102,2258.7713194962776,0.8810784399409599,138
117000,468.0000000007784,-2603534.1028805953,499462.1846078404,-2104071.918272755,300.61674793294094,2258.7713194962776,0.8810784399409599,138
118000,472.0000000007975,-2601786.4339243267,499086.24789544556,-2102700.186028881,300.3904788070862,2258.7713194962776,0.8810784399409599,138
119000,476.0000000008166,-2602451.3423550483,499055.4681176083,-2103395.87423744,300.371953046777,2258.7713194962776,0.8810784399409599,137
120000,480.0000000008357,-2603648.3765253425,501127.3032649309,-2102521.0732604116,301.6189510446941,2258.7713194962776,0.8810784399409599,137
121000,484.0000000008548,-2603760.3402723595,499973.2849327324,-2103787.055339627,300.92436945519324,2258.7713194962776,0.8810784399409599,137
122000,488.0000000008739,-2602036.45309766,499270.909268162,-2102765.543829498,300.50162295982807,2258.7713194962776,0.8810784399409599,137
123000,492.000000000893,-2602074.065711843,499367.54316934734,-2102706.5225424953,300.55978505900123,2258.7713194962776,0.8810784399409599,137
124000,496.0000000009121,-2602623.3710487112,500076.282880115,-2102547.0881685964,300.98636195220325,2258.7713194962776,0.8810784399409599,137
125000,500.0000000009312,-2600021.171187736,498861.0469068102,-2101160.124280926,300.2549346339312,2258.7713194962776,0.8810784399409599,137
126000,504.0000000009503,-2598798.108913118,500129.2603240393,-2098668.8485890785,301.01824806369905,2258.7713194962776,0.8810784399409599,136
127000,508.0000000009694,-2603898.8844530396,499353.050880119,-2104545.8335729204,300.55106242695376,2258.7713194962776,0.8810784399409599,136
128000,512.0000000009885,-2602962.47886,499850.24267528736,-2103112.236184713,300.85031267085327,2258.7713194962776,0.8810784399409599,136
129000,516.0000000010076,-2604853.1916050985,499530.52291913953,-2105322.668685959,300.6578794570785,2258.7713194962776,0.8810784399409599,136
130000,520.0000000010267,-2602209.0044157486,499279.1955433147,-2102929.808872434,300.50661031055375,2258.7713194962776,0.8810784399409599,136
131000,524.0000000010458,-2603687.218622284,500761.3040547644,-2102925.9145675194,301.3986631115993,2258.7713194962776,0.8810784399409599,136
132000,528.0000000010649,-2603244.4330401327,498790.8528615924,-2104453.58017854,300.2126861789972,2258.7713194962776,0.8810784399409599,136
133000,532.000000001084,-2602984.783478938,499787.2919328344,-2103197.4915461037,300.8124238214882,2258.7713194962776,0.8810784399409599,136
134000,536.0000000011031,-2604760.632731028,501514.2536825838,-2103246.3790484443,301.8518491093543,2258.7713194962776,0.8810784399409599,136
135000,540.0000000011222,-2605369.076064553,500633.3189475247,-2104735.7571170283,301.3216313203888,2258.7713194962776,0.8810784399409599,135
136000,544.0000000011413,-2604434.99824078,502607.492911476,-2101827.505329304,302.50984891760874,2258.7713194962776,0.8810784399409599,135
137000,548.0000000011604,-2601440.2026606556,499570.3171552607,-2101869.885505395,300.68183084762995,2258.7713194962776,0.8810784399409599,135
138000,552.0000000011795,-2603622.676328454,500718.66660212085,-2102904.0097263334,301.3730004433356,2258.7713194962776,0.8810784399409599,135
139000,556.0000000011986,-2600758.68798892,502523.92624974664,-2098234.7617391734,302.459551740247,2258.7713194962776,0.8810784399409599,135
140000,560.0000000012177,-2603420.8812422454,501551.7014683179,-2101869.1797739277,301.87438821624085,2258.7713194962776,0.8810784399409599,135
141000,564.0000000012368,-2603207.113951469,500592.698992992,-2102614.414958477,301.2971829456988,2258.7713194962776,0.8810784399409599,135
142000,568.0000000012559,-2603419.330524428,499807.05162188713,-2103612.278902541,300.82431680086927,2258.7713194962776,0.8810784399409599,135
143000,572.000000001275,-2603600.9144760333,500048.7204054449,-2103552.1940705883,300.9697726252119,2258.7713194962776,0.8810784399409599,135
144000,576.0000000012941,-2603891.4729226287,500884.2073401038,-2103007.265582525,301.4726362512836,2258.7713194962776,0.8810784399409599,134
145000,580.0000000013132,-2601062.23924396,499644.50879365986,-2101417.7304503,300.7264853775357,2258.7713194962776,0.8810784399409599,134
146000,584.0000000013323,-2604829.38952378,497979.4062737781,-2106849.983250002,299.72429197846026,2258.7713194962776,0.8810784399409599,134
147000,588.0000000013514,-2602482.687652305,497930.9750342504,-2104551.7126180544,299.6951421405468,2258.7713194962776,0.8810784399409599,134
148000,592.0000000013705,-2604289.47280317,499636.39968093415,-2104653.073122236,300.72160465749056,2258.7713194962776,0.8810784399409599,134
149000,596.0000000013896,-2602461.619749209,498808.16000396386,-2103653.459745245,300.2231030173807,2258.7713194962776,0.8810784399409599,134
150000,600.0000000014087,-2603335.5637877546,499601.0243241811,-2103734.5394635736,300.700312906019,2258.7713194962776,0.8810784399409599,134
151000,604.0000000014278,-2602396.464322189,500143.44046078116,-2102253.023861408,301.0267828171277,2258.7713194962776,0.8810784399409599,134
152000,608.0000000014469,-2602863.2166665327,500506.88337948633,-2102356.3332870463,301.24553216722353,2258.7713194962776,0.8810784399409599,134
153000,612.000000001466,-2600169.5666724816,500220.7686348882,-2099948.7980375933,301.0733251679604,2258.7713194962776,0.8810784399409599,134
154000,616.0000000014851,-2602984.369470861,502250.50153522845,-2100733.8679356324,302.2949826276774,2258.7713194962776,0.8810784399409599,134
155000,620.0000000015042,-2603212.3689832184,500157.01713946083,-2103055.3518437576,301.03495436067635,2258.7713194962776,0.8810784399409599,133
