#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-1932876.8321764348,7099.807566069373,-1925777.0246103655,7.156144967515981,1286.2973265498356,0.9231003186109851,0
2000,7.999999999999562,-1931252.8321764348,12095.022424164465,-1919157.8097522703,12.19099715692657,1286.2973265498356,0.9231003186109851,183
3000,11.999999999999122,-1927496.8321764348,18095.647047457565,-1909401.1851289773,18.239237098689497,1286.2973265498356,0.9231003186109851,138
4000,15.999999999998682,-1923574.8321764348,24015.12029238465,-1899559.7118840502,24.205681721002314,1286.2973265498356,0.9231003186109851,150
5000,20.000000000000018,-1919763.3321764348,29923.211675513834,-1889840.120500921,30.160654165757066,1286.2973265498356,0.9231003186109851,156
6000,24.000000000001354,-1916170.8321764348,36044.67757780954,-1880126.1545986254,36.33069426936317,1286.2973265498356,0.9231003186109851,161
7000,28.00000000000269,-1912797.8321764348,41921.34661784164,-1870876.4855585932,42.253995032832314,1286.2973265498356,0.9231003186109851,163
8000,32.00000000000402,-1908786.8321764348,47893.775162458,-1860893.0570139769,48.273815158332816,1286.2973265498356,0.9231003186109851,165
9000,36.000000000001805,-1904985.8321764348,54002.400536070796,-1850983.431640364,54.43091284288611,1286.2973265498356,0.9231003186109851,166
10000,39.99999999999959,-1900757.8321764348,59914.46043436468,-1840843.3717420702,60.389885293212856,1286.2973265498356,0.9231003186109851,167
11000,43.99999999999737,-1897058.8321764348,65751.84438365101,-1831306.9877927839,66.27358923637065,1286.2973265498356,0.9231003186109851,168
12000,47.999999999995154,-1892796.8321764348,71602.24836697595,-1821194.5838094589,72.1704165283228,1286.2973265498356,0.9231003186109851,168
13000,51.99999999999294,-1889152.8321764348,77712.84367466818,-1811439.9885017667,78.32949977850132,1286.2973265498356,0.9231003186109851,169
14000,55.99999999999072,-1884387.8321764348,83692.6783238242,-1800695.1538526106,84.3567847764279,1286.2973265498356,0.9231003186109851,169
15000,59.9999999999885,-1880582.3321764348,89303.38875548188,-1791278.943420953,90.01201653391693,1286.2973265498356,0.9231003186109851,169
16000,63.99999999998629,-1875849.3321764348,95710.8945677545,-1780138.4376086802,96.47036629144556,1286.2973265498356,0.9231003186109851,169
17000,67.99999999999118,-1870919.8321764348,101739.66187331187,-1769180.1703031228,102.5469722293547,1286.2973265498356,0.9231003186109851,169
18000,71.99999999999606,-1866513.3321764348,107833.02672153668,-1758680.3054548982,108.6886882953302,1286.2973265498356,0.9231003186109851,169
19000,76.00000000000095,-1861648.8321764348,113692.88998042716,-1747955.9421960076,114.59504992277029,1286.2973265498356,0.9231003186109851,169
20000,80.00000000000584,-1857587.8321764348,119638.3812180185,-1737949.4509584163,120.58771899208911,1286.2973265498356,0.9231003186109851,169
21000,84.00000000001073,-1852408.8321764348,125786.03338793467,-1726622.7987885,126.78415315292935,1286.2973265498356,0.9231003186109851,169
22000,88.00000000001562,-1847000.8321764348,131336.40976255425,-1715664.4224138805,132.37857209899707,1286.2973265498356,0.9231003186109851,169
23000,92.0000000000205,-1841536.8321764348,136674.68024947832,-1704862.1519269566,137.75920208435176,1286.2973265498356,0.9231003186109851,169
24000,96.0000000000254,-1835794.8321764348,143117.28182736007,-1692677.5503490746,144.25292609450733,1286.2973265498356,0.9231003186109851,169
25000,100.00000000003028,-1829961.8321764348,148875.05881982544,-1681086.7733566093,150.05639139483822,1286.2973265498356,0.9231003186109851,169
26000,104.00000000003517,-1823829.3321764348,155328.8852202954,-1668500.4469561395,156.56142929722657,1286.2973265498356,0.9231003186109851,169
27000,108.00000000004006,-1817343.3321764348,160919.32683923206,-1656424.0053372027,162.1962314077426,1286.2973265498356,0.9231003186109851,169
28000,112.00000000004495,-1811111.3321764348,167370.0514433163,-1643741.2807331185,168.69814290080376,1286.2973265498356,0.9231003186109851,169
29000,116.00000000004984,-1803830.8321764348,172515.76494781044,-1631315.0672286244,173.88468795245382,1286.2973265498356,0.9231003186109851,168
30000,120.00000000005473,-1795626.8321764348,177922.55310475593,-1617704.2790716789,179.33437929967596,1286.2973265498356,0.9231003186109851,168
31000,124.00000000005961,-1786410.8321764348,184355.78528399422,-1602055.0468924406,185.8186595644445,1286.2973265498356,0.9231003186109851,168
32000,128.0000000000645,-1778315.8321764348,190252.78540584282,-1588063.046770592,191.76245273809116,1286.2973265498356,0.9231003186109851,168
33000,132.00000000005517,-1767842.3321764348,196714.41727046005,-1571127.9149059746,198.27535804145577,1286.2973265498356,0.9231003186109851,167
34000,136.00000000004584,-1756636.3321764348,201847.0147240829,-1554789.317452352,203.44868296557945,1286.2973265498356,0.9231003186109851,167
35000,140.00000000003652,-1745485.8321764348,208484.59076688148,-1537001.2414095532,210.13892857479593,1286.2973265498356,0.9231003186109851,167
36000,144.0000000000272,-1729126.3321764348,213756.46528234216,-1515369.8668940926,215.45263573264725,1286.2973265498356,0.9231003186109851,167
37000,148.00000000001788,-1716438.8321764348,219215.0372953097,-1497223.794881125,220.95452184391368,1286.2973265498356,0.9231003186109851,167
38000,152.00000000000855,-1699043.8321764348,224181.673022113,-1474862.1591543218,225.9605681249012,1286.2973265498356,0.9231003186109851,166
39000,155.99999999999923,-1683113.8321764348,231158.5011596095,-1451955.3310168253,232.99275781465784,1286.2973265498356,0.9231003186109851,166
40000,159.9999999999899,-1665225.8321764348,239682.77219625504,-1425543.0599801796,241.58466945634262,1286.2973265498356,0.9231003186109851,166
41000,163.9999999999806,-1649457.3321764348,243423.0128342795,-1406034.3193421552,245.35458912951984,1286.2973265498356,0.9231003186109851,166
