#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-3274992.4853935298,12610.506995329186,-3262381.9783982006,7.590023268123818,2258.7713194962776,0.8810784399409599,0
2000,7.999999999999562,-3277733.4853935298,20877.15021740744,-3256856.3351761224,12.565557909839,2258.7713194962776,0.8810784399409599,85
3000,11.999999999999122,-3273689.4853935298,30371.37411760672,-3243318.111275923,18.27994991184024,2258.7713194962776,0.8810784399409599,91.9
4000,15.999999999998682,-3268772.4853935298,40446.73386467084,-3228325.751528859,24.344116478914774,2258.7713194962776,0.8810784399409599,90.2
5000,20.000000000000018,-3263247.4853935298,50301.27404666341,-3212946.2113468666,30.275375967981198,2258.7713194962776,0.8810784399409599,91.4
6000,24.000000000001354,-3257638.4853935298,60175.670974832596,-3197462.8144186973,36.218586853257584,2258.7713194962776,0.8810784399409599,91
7000,28.00000000000269,-3251801.4853935298,70343.12875688948,-3181458.35663664,42.33818546829042,2258.7713194962776,0.8810784399409599,92.1
8000,32.00000000000402,-3246390.4853935298,79969.42452997387,-3166421.060863556,48.132069007676634,2258.7713194962776,0.8810784399409599,91.4
9000,36.000000000001805,-3240514.4853935298,90276.70029541441,-3150237.7850981154,54.335821396033346,2258.7713194962776,0.8810784399409599,90.8
10000,39.99999999999959,-3234948.4853935298,100651.48039465459,-3134297.0049988753,60.580203353401686,2258.7713194962776,0.8810784399409599,90.4
11000,43.99999999999737,-3228402.4853935298,110416.45155405751,-3117986.033839472,66.45755295876475,2258.7713194962776,0.8810784399409599,90.6
12000,47.999999999995154,-3223182.4853935298,120150.72643168809,-3103031.7589618415,72.31642705850514,2258.7713194962776,0.8810784399409599,90.2
13000,51.99999999999294,-3216325.4853935298,130528.60050173328,-3085796.8848917964,78.56267121779842,2258.7713194962776,0.8810784399409599,90.5
14000,55.99999999999072,-3209215.4853935298,139847.19093067606,-3069368.2944628536,84.17135278849092,2258.7713194962776,0.8810784399409599,90
15000,59.9999999999885,-3202058.4853935298,149713.8172004007,-3052344.668193129,90.10988666288863,2258.7713194962776,0.8810784399409599,89.8
16000,63.99999999998629,-3195138.4853935298,159286.97692939432,-3035851.508464135,95.87178863236855,2258.7713194962776,0.8810784399409599,89.7
17000,67.99999999999118,-3187680.4853935298,170178.61992145865,-3017501.865472071,102.42726049154798,2258.7713194962776,0.8810784399409599,89.2
18000,71.99999999999606,-3178826.4853935298,180357.45648050326,-2998469.0289130267,108.55370777508651,2258.7713194962776,0.8810784399409599,89.2
19000,76.00000000000095,-3170720.4853935298,189039.97636780626,-2981680.5090257237,113.77955063731136,2258.7713194962776,0.8810784399409599,89.4
20000,80.00000000000584,-3161298.4853935298,199879.13053547728,-2961419.3548580525,120.30343047575688,2258.7713194962776,0.8810784399409599,89
21000,84.00000000001073,-3152018.4853935298,210106.87129790089,-2941911.6140956287,126.45931226511605,2258.7713194962776,0.8810784399409599,88.8
22000,88.00000000001562,-3143945.4853935298,219567.0756348826,-2924378.409758647,132.1532285418758,2258.7713194962776,0.8810784399409599,88.6
23000,92.0000000000205,-3133478.4853935298,229764.4854358856,-2903713.9999576444,138.2908547049535,2258.7713194962776,0.8810784399409599,88.4
24000,96.0000000000254,-3123508.4853935298,238997.06071160606,-2884511.424681924,143.84776539802698,2258.7713194962776,0.8810784399409599,88.2
25000,100.00000000003028,-3112542.4853935298,250071.957621334,-2862470.5277721956,150.51353428963793,2258.7713194962776,0.8810784399409599,88.5
26000,104.00000000003517,-3100536.4853935298,259375.41284993864,-2841161.0725435913,156.11310627236725,2258.7713194962776,0.8810784399409599,88
27000,108.00000000004006,-3089114.4853935298,269637.42476196465,-2819477.0606315653,162.28961521200708,2258.7713194962776,0.8810784399409599,87.6
28000,112.00000000004495,-3077894.4853935298,278879.62761299586,-2799014.857780534,167.85232055874923,2258.7713194962776,0.8810784399409599,87.6
29000,116.00000000004984,-3062717.4853935298,288903.7976468381,-2773813.6877466915,173.88567701528768,2258.7713194962776,0.8810784399409599,87.4
30000,120.00000000005473,-3047721.4853935298,298855.52999206097,-2748865.955401469,179.8754346107879,2258.7713194962776,0.8810784399409599,87.3
31000,124.00000000005961,-3034091.4853935298,308392.56925262173,-2725698.916140908,185.61559636030978,2258.7713194962776,0.8810784399409599,87.5
32000,128.0000000000645,-3016480.4853935298,318802.5732723951,-2697677.912121135,191.88117892258168,2258.7713194962776,0.8810784399409599,87.2
33000,132.00000000005517,-2998809.4853935298,330629.7030804314,-2668179.782313098,198.99970242614623,2258.7713194962776,0.8810784399409599,87.2
34000,136.00000000004584,-2978369.4853935298,338446.64022394095,-2639922.845169589,203.7045675696868,2258.7713194962776,0.8810784399409599,87
35000,140.00000000003652,-2957604.4853935298,350000.4557616212,-2607604.0296319085,210.65858843491327,2258.7713194962776,0.8810784399409599,86.9
36000,144.0000000000272,-2931546.4853935298,358750.76089694235,-2572795.724496587,215.9252299430517,2258.7713194962776,0.8810784399409599,86.7
37000,148.00000000001788,-2902387.4853935298,367963.14154232043,-2534424.343851209,221.46998587389032,2258.7713194962776,0.8810784399409599,86.8
38000,152.00000000000855,-2875622.4853935298,379310.2809598921,-2496312.2044336377,228.29961233045657,2258.7713194962776,0.8810784399409599,86.6
39000,155.99999999999923,-2847274.4853935298,388311.9143047784,-2458962.5710887513,233.71752348693207,2258.7713194962776,0.8810784399409599,86.5
40000,159.9999999999899,-2819657.4853935298,398924.1617147546,-2420733.323678775,240.10483248241022,2258.7713194962776,0.8810784399409599,86.3
